time,average,count,minimum,maximum,standard_deviation,standard_error
2017-05-01T00:00:00,80.31349,38330,52.8,98.2,9.320899,0.047608926925668246
2017-06-01T00:00:00,79.15106,43200,48.7,98.3,9.838068,0.04733342677473982
2017-07-01T00:00:00,80.70252,44633,53.8,98.2,10.065095,0.0476419837539694
2017-08-01T00:00:00,80.55452,44636,56.3,97.3,9.013504,0.042662963806914436
2017-09-01T00:00:00,76.637054,43198,43.2,98.0,9.830077,0.047296075671068895
2017-10-01T00:00:00,77.929276,44623,46.0,96.2,10.2042265,0.04830595889005129
2017-11-01T00:00:00,81.941765,43198,53.7,96.6,8.944669,0.043036053900457644
2017-12-01T00:00:00,80.84764,44637,47.1,95.8,8.294106,0.03925744740795032
2018-01-01T00:00:00,78.33033,44636,48.0,96.0,10.1851,0.048208392020884956
2018-02-01T00:00:00,76.233315,40316,42.4,96.6,11.120392,0.05538362427586216
2018-03-01T00:00:00,79.80978,44639,45.7,97.1,12.411019,0.05874220213219417
2018-04-01T00:00:00,76.810036,43200,47.4,97.5,11.127162,0.05353558303568416
2018-05-01T00:00:00,73.61538,25062,42.5,96.9,11.251701,0.07107393056756528
2018-06-01T00:00:00,,0,,,,
2018-07-01T00:00:00,,0,,,,
2018-08-01T00:00:00,,0,,,,
2018-09-01T00:00:00,,0,,,,
2018-10-01T00:00:00,76.129745,23459,50.7,96.1,9.749396,0.06365360102576652
2018-11-01T00:00:00,72.013016,41190,44.5,96.9,10.25464,0.05052711560402105
2018-12-01T00:00:00,77.66165,44639,43.3,96.1,10.968333,0.05191387037647866
2019-01-01T00:00:00,81.62435,44584,58.3,96.6,6.963119,0.032977239942892464
2019-02-01T00:00:00,75.042915,40303,47.7,96.1,10.69315,0.05326438956061315
2019-03-01T00:00:00,76.20751,44588,40.1,97.2,11.046584,0.052314130113461546
2019-04-01T00:00:00,74.10604,41758,45.8,96.8,11.657741,0.05704854103827869
2019-05-01T00:00:00,78.40382,44639,48.1,96.9,9.622741,0.04554508917653278
2019-06-01T00:00:00,76.90654,43200,49.0,97.3,9.9140625,0.04769905544281478
2019-07-01T00:00:00,79.90026,44603,53.0,97.0,9.364108,0.044338845706198185
2019-08-01T00:00:00,81.695145,44598,56.0,98.1,9.781435,0.04631747569135006
2019-09-01T00:00:00,78.74414,43200,49.7,96.9,10.685566,0.05141095314001733
2019-10-01T00:00:00,75.32354,44639,47.6,97.1,11.699691,0.05537543572772937
2019-11-01T00:00:00,79.00563,43194,53.0,97.5,10.289731,0.049509929788744494
2019-12-01T00:00:00,76.338264,43198,47.9,96.6,10.500463,0.05052154340613131
2020-01-01T00:00:00,78.78775,44639,50.9,98.0,10.597694,0.05015961139753774
2020-02-01T00:00:00,78.97258,41753,45.4,96.9,10.011897,0.048997343460586096
2020-03-01T00:00:00,74.81371,44640,43.5,96.5,10.587019,0.05010852259600906
2020-04-01T00:00:00,77.88072,43187,47.9,97.4,10.092214,0.04856349302677029
2020-05-01T00:00:00,78.326675,44563,46.3,97.7,11.343774,0.053736620417784
2020-06-01T00:00:00,81.801285,43197,53.8,98.3,9.051013,0.043548218682727964
2020-07-01T00:00:00,76.39768,44637,49.7,96.7,9.664317,0.0457428977896645
2020-08-01T00:00:00,79.39806,40897,47.8,96.8,11.194286,0.05535421370490209
2020-09-01T00:00:00,75.43414,43200,38.3,95.9,11.150221,0.05364652517816069
2020-10-01T00:00:00,77.48523,44640,47.5,97.0,10.551551,0.049940651529458785
2020-11-01T00:00:00,73.26845,43198,44.7,96.0,11.731414,0.05644409775161944
2020-12-01T00:00:00,76.86873,44640,48.5,95.8,9.087723,0.043012330819196976
2021-01-01T00:00:00,82.38058,44632,47.4,97.1,9.686653,0.04585118607600192
2021-02-01T00:00:00,76.50139,40319,47.8,95.7,9.908378,0.04934551374508516
2021-03-01T00:00:00,78.9409,44639,54.5,97.6,10.049102,0.04756308530725706
2021-04-01T00:00:00,82.07503,43196,48.1,100.2,9.564491,0.046019310660755326
2021-05-01T00:00:00,79.15894,44639,50.6,97.0,10.786478,0.05105313728612256
2021-06-01T00:00:00,80.196945,43199,50.9,97.3,9.948612,0.04786583683358516
2021-07-01T00:00:00,82.694,40860,57.1,104.0,10.490891,0.051899504616124144
2021-08-01T00:00:00,83.47717,29461,54.8,104.0,11.535212,0.06720503662690254
2021-09-01T00:00:00,82.09457,28608,54.0,104.0,11.048202,0.06532025030332694
2021-10-01T00:00:00,80.405426,27533,45.7,104.0,12.109957,0.07298201071961137
