time,average,count,minimum,maximum,standard_deviation,standard_error
2017-05-01T00:00:00,16.743769,38330,11.9,23.4,1.8083619,0.009236680806011465
2017-06-01T00:00:00,18.348066,43200,11.5,23.6,2.121721,0.010208135061675257
2017-07-01T00:00:00,21.466724,44633,15.0,26.9,1.8288932,0.008656858166084334
2017-08-01T00:00:00,22.4972,44636,17.3,29.8,2.0009606,0.009471001388151011
2017-09-01T00:00:00,22.518042,43198,15.8,27.8,1.9660054,0.009459167069949571
2017-10-01T00:00:00,20.496275,44623,13.5,27.3,2.2509584,0.010655849912914846
2017-11-01T00:00:00,17.927406,43198,12.1,21.5,1.1485131,0.0055259140424010365
2017-12-01T00:00:00,17.68434,44637,11.3,21.9,1.5522436,0.007347039520277806
2018-01-01T00:00:00,15.735554,44636,9.7,20.1,1.749432,0.008280459240673173
2018-02-01T00:00:00,14.436616,40316,7.6,19.3,1.8850423,0.009388201106263098
2018-03-01T00:00:00,14.975682,44639,7.2,20.9,2.4868789,0.01177056755323815
2018-04-01T00:00:00,15.27638,43199,7.3,20.9,2.0226138,0.009731417641149489
2018-05-01T00:00:00,16.777117,25062,12.3,21.9,1.9266775,0.012170296392027788
2018-06-01T00:00:00,,0,,,,
2018-07-01T00:00:00,,0,,,,
2018-08-01T00:00:00,,0,,,,
2018-09-01T00:00:00,,0,,,,
2018-10-01T00:00:00,19.20153,23459,16.0,23.7,1.32134,0.00862700049792957
2018-11-01T00:00:00,17.307077,41190,10.6,23.8,2.335203,0.011506115556525023
2018-12-01T00:00:00,16.309744,44638,9.8,21.0,2.1450038,0.01015256318643013
2019-01-01T00:00:00,15.601017,44584,10.0,19.3,1.4262061,0.006754493346700229
2019-02-01T00:00:00,14.542761,40303,6.8,20.1,2.414789,0.012028472915817373
2019-03-01T00:00:00,15.149644,44588,11.3,20.2,1.6436875,0.007784133089075517
2019-04-01T00:00:00,15.3499775,41758,10.5,23.2,1.9688272,0.009634690456311166
2019-05-01T00:00:00,17.71108,44638,10.7,24.4,2.3912828,0.011318231576686702
2019-06-01T00:00:00,18.980225,43200,13.2,24.5,1.6863456,0.00811343394138536
2019-07-01T00:00:00,22.17787,44603,17.3,27.4,1.850668,0.008762872031470297
2019-08-01T00:00:00,21.986782,44598,18.0,27.2,1.713329,0.008113029656586798
2019-09-01T00:00:00,21.85088,43200,16.7,26.4,1.6389428,0.007885367404510419
2019-10-01T00:00:00,19.43694,44639,13.6,25.4,2.118219,0.01002567472107281
2019-11-01T00:00:00,17.78169,43194,13.5,21.9,1.442908,0.006942676732839386
2019-12-01T00:00:00,16.08523,43196,8.9,21.7,2.2918766,0.011027306749309624
2020-01-01T00:00:00,15.622869,44638,10.8,20.5,2.033602,0.009625284969607985
2020-02-01T00:00:00,15.042795,41753,9.1,20.9,2.0099418,0.009836478407017542
2020-03-01T00:00:00,14.854895,44639,9.4,21.6,2.094005,0.009911069194985089
2020-04-01T00:00:00,15.541064,43187,9.5,21.5,1.871632,0.009006248770867383
2020-05-01T00:00:00,16.747992,44563,11.5,24.1,2.0601897,0.009759330072062053
2020-06-01T00:00:00,17.986303,43197,13.4,22.8,1.7742004,0.008536422252984975
2020-07-01T00:00:00,21.499252,44637,15.4,28.0,1.9435939,0.009199368570185842
2020-08-01T00:00:00,22.869617,40897,17.4,27.4,1.8241249,0.009020048103247219
2020-09-01T00:00:00,20.80594,43200,17.5,26.1,1.6437507,0.007908499086694446
2020-10-01T00:00:00,19.41567,44640,13.4,26.5,1.9571131,0.009263046438960877
2020-11-01T00:00:00,15.909073,43198,10.9,22.3,1.9015826,0.009149205333260092
2020-12-01T00:00:00,15.303622,44639,11.0,20.0,1.7808579,0.008428922170031737
2021-01-01T00:00:00,15.692037,44632,8.3,20.3,1.7773182,0.008412828264632166
2021-02-01T00:00:00,13.836975,40319,6.2,19.5,2.1285598,0.0106006131354641
2021-03-01T00:00:00,14.781553,44639,8.1,20.1,1.8319002,0.008670508948916552
2021-04-01T00:00:00,16.021065,43196,10.5,21.6,1.6618459,0.007995930112934013
2021-05-01T00:00:00,17.013985,44639,10.9,22.2,1.8585972,0.0087968672965305
2021-06-01T00:00:00,19.29252,43199,12.3,25.0,2.013819,0.009689103224521135
2021-07-01T00:00:00,21.188898,44640,17.3,25.6,1.502436,0.007111052751314881
2021-08-01T00:00:00,22.830038,43403,17.9,28.4,1.8387352,0.008825906475227387
2021-09-01T00:00:00,21.00373,41578,16.2,25.9,1.5312059,0.00750934044925767
2021-10-01T00:00:00,20.676346,38627,16.1,26.1,1.7991381,0.009154170633058964
2021-11-01T00:00:00,18.21305,42515,10.7,23.9,2.1528733,0.01044112693118407
2021-12-01T00:00:00,15.968435,44122,9.8,21.0,1.8086483,0.00861046371333827
2022-01-01T00:00:00,14.49977,43741,8.9,18.6,1.4609513,0.0069854018330392335
2022-02-01T00:00:00,14.540176,38748,8.5,18.6,1.7428187,0.008853756403512731
2022-03-01T00:00:00,14.915208,44640,8.9,20.8,1.8090602,0.008562309654286334
2022-04-01T00:00:00,15.648536,40306,9.1,22.2,1.9682523,0.009803833288837898
2022-05-01T00:00:00,16.293802,44162,11.0,22.0,1.8894554,0.008991088799346791
2022-06-01T00:00:00,18.326862,40621,14.5,22.6,1.6058701,0.007967739270440121
2022-07-01T00:00:00,21.673506,42698,16.3,28.0,2.4134426,0.011679740934856103
2022-08-01T00:00:00,23.497572,39581,18.0,28.8,1.7227237,0.00865908998774467
2022-09-01T00:00:00,22.791166,39991,17.5,27.9,1.8390392,0.009196230666675555
2022-10-01T00:00:00,18.054585,182236,11.5,25.9,2.3549058,0.005516409024414213
2022-11-01T00:00:00,17.620598,258074,11.1,23.2,1.899673,0.0037394412990331785
2022-12-01T00:00:00,15.2152815,267840,8.3,20.8,2.2559373,0.004359024541543567
2023-01-01T00:00:00,14.49994,267828,8.6,19.1,1.9513218,0.0037705171137978953
2023-02-01T00:00:00,14.415177,241917,9.2,20.4,1.7894801,0.00363825953894958
2023-03-01T00:00:00,15.757005,267734,10.5,21.4,1.7943358,0.003467783445796916
2023-04-01T00:00:00,16.37502,250554,9.7,22.1,2.2647371,0.004524463926579993
