time,average,count,minimum,maximum,standard_deviation,standard_error
2013-01-01T00:00:00,78.32715,131568,42.45,98.4,11.698296,0.032251317037472686
2014-01-01T00:00:00,79.41483,524051,44.04,98.7,11.135299,0.015382081051292198
2015-01-01T00:00:00,78.72518,525328,-1.001,99.8,10.941669,0.015096223481442576
2016-01-01T00:00:00,79.73466,526980,41.16,99.9,10.871834,0.014976341622186294
2017-01-01T00:00:00,80.87091,525592,43.75,99.6,9.959988,0.013738345256658055
2018-01-01T00:00:00,78.115616,525594,14.39,99.8,11.35798,0.01566664099502571
2019-01-01T00:00:00,79.152115,525600,44.39,99.3,10.736646,0.01480951867325847
2020-01-01T00:00:00,78.11723,527040,38.45,99.0,11.198044,0.015424829564136973
2021-01-01T00:00:00,81.92421,472319,47.53,100.2,11.172909,0.01625730468066351
2022-01-01T00:00:00,79.154465,77760,44.52,101.6,11.404307,0.040896937501196745
2023-01-01T00:00:00,78.6759,76306,31.19,101.3,13.218651,0.04785284757083963
2024-01-01T00:00:00,83.520706,76318,54.87,99.3,8.707629,0.03152001655417818
2025-01-01T00:00:00,80.81399,72000,47.41,97.0,9.321989,0.034741002037392665
