time,average,count,minimum,maximum,standard_deviation,standard_error
2013-10-01T00:00:00,20.116781,43733.0,14.66,27.66,1.9801997,0.009469005180067373
2013-11-01T00:00:00,17.98963,43199.0,12.35,24.26,1.7757887,0.008543866085048292
2013-12-01T00:00:00,16.415648,44636.0,9.49,22.4,2.0361214,0.009637425353552775
2014-01-01T00:00:00,15.044231,44640.0,8.16,20.23,2.0330656,0.009622530359756598
2014-02-01T00:00:00,14.951218,36845.0,9.06,20.14,2.088608,0.01088097123584995
2014-03-01T00:00:00,15.337308,44640.0,9.22,20.92,2.336295,0.011057719422950894
2014-04-01T00:00:00,15.641363,43200.0,10.59,23.3,2.146293,0.010326356649498531
2014-05-01T00:00:00,18.33084,44640.0,13.47,24.46,2.2144933,0.01048123051849996
2014-06-01T00:00:00,20.102821,43200.0,13.99,27.76,2.4163811,0.011625819087419543
2014-07-01T00:00:00,22.017754,44640.0,16.51,28.12,1.9908284,0.009422621223606405
2014-08-01T00:00:00,24.077728,44640.0,18.56,28.97,1.856256,0.008785688060166521
2014-09-01T00:00:00,20.916117,43200.0,16.16,27.38,2.1285439,0.010240961391251033
2014-10-01T00:00:00,19.483519,44640.0,14.34,26.1,2.095988,0.00992034340861037
2014-11-01T00:00:00,16.883001,43200.0,9.67,26.58,2.1727846,0.010453814621490103
2014-12-01T00:00:00,15.682741,44640.0,9.52,21.61,2.0966995,0.00992371066992753
2015-01-01T00:00:00,15.588254,44614.0,8.65,20.61,2.0866528,0.009879036766876537
2015-02-01T00:00:00,15.983876,40320.0,9.39,21.64,2.0944872,0.010430795881946349
2015-03-01T00:00:00,16.37158,44640.0,9.16,22.89,2.4315245,0.011508442697020185
2015-04-01T00:00:00,16.202744,43200.0,10.35,23.86,2.3116972,0.011122158554001874
2015-05-01T00:00:00,17.84053,44640.0,12.19,23.69,1.9545015,0.00925068552057342
2015-06-01T00:00:00,21.221373,43200.0,16.52,27.8,2.3550735,0.011330852428926208
2015-07-01T00:00:00,23.359098,44640.0,17.03,29.05,2.2527678,0.010662384437920305
2015-08-01T00:00:00,22.803783,44640.0,16.99,28.54,2.1640732,0.010242591670789138
2015-09-01T00:00:00,21.270435,43093.0,14.73,27.57,2.2940798,0.011051090933051073
2015-10-01T00:00:00,18.270603,44640.0,10.03,26.3,2.0007987,0.009469810840694764
2015-11-01T00:00:00,17.732643,43200.0,11.53,23.58,2.1100721,0.010152089297383303
