time,average,count,minimum,maximum,standard_deviation,standard_error
2013-01-01T00:00:00,18.162699,131568,9.49,27.66,2.4616804,0.0067866668942364325
2014-01-01T00:00:00,18.252321,522125,8.16,28.97,3.651714,0.005053700757606949
2015-01-01T00:00:00,18.497757,525351,8.65,29.05,3.5625029,0.004915078292973853
2016-01-01T00:00:00,18.29373,526980,8.31,29.98,3.6692214,0.005054484293680989
2017-01-01T00:00:00,18.475649,525592,8.49,28.71,3.2677152,0.004507334893818303
2018-01-01T00:00:00,16.658457,353484,7.348,27.24,2.7582874,0.00463932331753635
2019-01-01T00:00:00,18.513718,525600,7.716,28.02,3.3509705,0.0046221382064189544
2020-01-01T00:00:00,18.315102,527040,9.16,29.55,3.412654,0.004700785776077838
2021-01-01T00:00:00,18.93648,472319,7.569,29.32,3.4150767,0.004969157452979443
2022-01-01T00:00:00,14.791001,77760,8.53,20.1,1.7363151,0.006226592210052683
2023-01-01T00:00:00,,0,,,,
2024-01-01T00:00:00,,0,,,,
2025-01-01T00:00:00,16.307543,72000,6.468,21.38,2.2418816,0.00835499945857983
