time,average,count,minimum,maximum,standard_deviation,standard_error
2002-08-01T00:00:00,9.099999,359.0,0.0,1.0,0.11343376,0.0059868050537072795
2002-09-01T00:00:00,32.7,480.0,0.0,2.5,0.25274456,0.011536157859946446
2002-10-01T00:00:00,12.5,600.0,0.0,1.2,0.09754984,0.003982455574485317
2002-11-01T00:00:00,3.1000001,433.0,0.0,1.0,0.07300552,0.0035084213837373378
2002-12-01T00:00:00,0.5,623.0,0.0,0.3,0.014423026,0.0005778463258294463
2003-01-01T00:00:00,0.0,481.0,0.0,0.0,0.0,0.0
2003-02-01T00:00:00,0.0,503.0,0.0,0.0,0.0,0.0
2003-03-01T00:00:00,7.8,193.0,0.0,7.8,0.5599998,0.040309669342235704
2003-04-01T00:00:00,,,,,,
2003-05-01T00:00:00,,,,,,
2003-06-01T00:00:00,,,,,,
2003-07-01T00:00:00,,,,,,
2003-08-01T00:00:00,,,,,,
2003-09-01T00:00:00,1.5999999,335.0,0.0,0.7,0.04546142,0.0024838227072008934
2003-10-01T00:00:00,36.9,744.0,0.0,1.5,0.17810185,0.006529530713598111
2003-11-01T00:00:00,22.2,720.0,0.0,1.2,0.10694949,0.0039857722858891295
2003-12-01T00:00:00,33.6,744.0,0.0,8.9,0.35321602,0.012949527660681482
2004-01-01T00:00:00,15.200001,744.0,0.0,3.6,0.16931814,0.006207504171560154
2004-02-01T00:00:00,96.4,672.0,0.0,34.1,1.6295044,0.06285949855296981
2004-03-01T00:00:00,321.40002,648.0,0.0,43.9,2.995802,0.11768621426251796
2004-04-01T00:00:00,45.100002,720.0,0.0,8.6,0.5043491,0.01879598166609288
2004-05-01T00:00:00,319.1,672.0,0.0,56.4,3.220481,0.12423274856821
2004-06-01T00:00:00,2.5,648.0,0.0,0.8,0.04811822,0.001890262155424862
2004-07-01T00:00:00,36.1,744.0,0.0,2.6,0.22765274,0.008346154513730409
2004-08-01T00:00:00,11.0,696.0,0.0,1.3,0.10090217,0.003824686881327252
2004-09-01T00:00:00,25.100002,720.0,0.0,0.9,0.12402389,0.004622097555224708
2004-10-01T00:00:00,5.5,744.0,0.0,1.6,0.082869746,0.0030381522856992465
2004-11-01T00:00:00,2.8000002,720.0,0.0,0.4,0.031382743,0.0011695657878394428
2004-12-01T00:00:00,3.7000003,744.0,0.0,1.1,0.048797354,0.0017889977999383634
2005-01-01T00:00:00,3.8,744.0,0.0,0.7,0.044910178,0.0016464869946111779
2005-02-01T00:00:00,5.9999995,672.0,0.0,4.3,0.16782233,0.00647388697527038
2005-03-01T00:00:00,5.7,744.0,0.0,1.2,0.06746495,0.00247338498633622
2005-04-01T00:00:00,1.4,696.0,0.0,0.4,0.022653813,0.0008586905484058114
2005-05-01T00:00:00,16.900002,744.0,0.0,1.0,0.1051504,0.003855000759210214
2005-06-01T00:00:00,10.0,720.0,0.0,1.9,0.114146054,0.004253972260668779
2005-07-01T00:00:00,18.4,744.0,0.0,2.4,0.15286225,0.005604202019052323
2005-08-01T00:00:00,59.9,744.0,0.0,19.7,0.76784104,0.028150418367640723
2005-09-01T00:00:00,16.0,720.0,0.0,1.1,0.11158234,0.004158428244458321
2005-10-01T00:00:00,11.8,744.0,0.0,2.3,0.11378656,0.004171617808200645
2005-11-01T00:00:00,12.5,720.0,0.0,0.8,0.08209908,0.0030596520660324347
2005-12-01T00:00:00,19.300001,744.0,0.0,1.0,0.09830104,0.003603890911929421
2006-01-01T00:00:00,9.4,744.0,0.0,0.7,0.067811765,0.002486099917252665
2006-02-01T00:00:00,29.8,552.0,0.0,7.5,0.37142313,0.015808818052919154
2006-03-01T00:00:00,8.0,648.0,0.0,0.6,0.064564474,0.0025363320743077007
2006-04-01T00:00:00,33.8,720.0,0.0,19.9,0.7443987,0.0277421020813587
2006-05-01T00:00:00,6.4,744.0,0.0,0.7,0.053190496,0.0019500581895975507
2006-06-01T00:00:00,13.300001,504.0,0.0,1.1,0.10502294,0.004678093431297714
2006-07-01T00:00:00,26.2,672.0,0.0,1.7,0.16636214,0.006417558746150433
2006-08-01T00:00:00,20.199999,720.0,0.0,1.6,0.13861056,0.0051657104538130535
2006-09-01T00:00:00,4.0,696.0,0.0,0.6,0.039700955,0.0015048608214666412
2006-10-01T00:00:00,15.8,744.0,0.0,1.3,0.10641054,0.0039011996981926015
2006-11-01T00:00:00,3.1000001,720.0,0.0,0.6,0.040425736,0.0015065782459764707
2006-12-01T00:00:00,14.9,744.0,0.0,5.1,0.24222203,0.008880290326533013
2007-01-01T00:00:00,0.7,744.0,0.0,0.5,0.019720541,0.0007229901225633689
2007-02-01T00:00:00,17.999998,672.0,0.0,17.3,0.6671032,0.02573406352735501
2007-03-01T00:00:00,4.9,743.0,0.0,2.7,0.10844356,0.003978408299263601
2007-04-01T00:00:00,3.6999998,720.0,0.0,1.0,0.04959539,0.0018483110387746912
2007-05-01T00:00:00,4.8,597.0,0.0,1.2,0.06971355,0.0028531855747080093
2007-06-01T00:00:00,0.0,720.0,0.0,0.0,0.0,0.0
2007-07-01T00:00:00,1.2,744.0,0.0,0.4,0.02313078,0.0008480155419484318
2007-08-01T00:00:00,11.7,733.0,0.0,3.8,0.16395205,0.006055707234378516
2007-09-01T00:00:00,5.2,719.0,0.0,0.9,0.062874936,0.0023448394266686176
2007-10-01T00:00:00,4.8,744.0,0.0,0.7,0.044131894,0.001617953721585626
2007-11-01T00:00:00,2.2,552.0,0.0,0.4,0.032727238,0.0013929637451566292
2007-12-01T00:00:00,1.2,744.0,0.0,0.2,0.017887961,0.0006558044729440272
2008-01-01T00:00:00,2.8000002,695.0,0.0,0.6,0.03884519,0.0014734820023892584
2008-02-01T00:00:00,5.2,692.0,0.0,0.4,0.04626083,0.00175857288833065
2008-03-01T00:00:00,0.0,739.0,0.0,0.0,0.0,0.0
