time,average,count,minimum,maximum,standard_deviation,standard_error
2002-08-01T00:00:00,2.9844012,359.0,-3.0,14.1,3.244242,0.17122454143707805
2002-09-01T00:00:00,1.9024999,480.0,-1.3,8.5,1.9054073,0.08696954705549961
2002-10-01T00:00:00,-4.6551666,600.0,-22.8,2.4,4.5956144,0.18761517360211152
2002-11-01T00:00:00,-13.701616,433.0,-23.0,-0.4,5.045865,0.24248879973476328
2002-12-01T00:00:00,-18.046228,623.0,-32.3,-6.9,5.107576,0.20463070721485674
2003-01-01T00:00:00,-23.731394,481.0,-43.0,-11.0,7.9836965,0.3640252246662244
2003-02-01T00:00:00,-27.013521,503.0,-35.6,-15.8,4.574388,0.20396188112709268
2003-03-01T00:00:00,-21.270983,193.0,-30.4,-9.0,4.590934,0.3304626459700034
2003-04-01T00:00:00,,,,,,
2003-05-01T00:00:00,,,,,,
2003-06-01T00:00:00,,,,,,
2003-07-01T00:00:00,,,,,,
2003-08-01T00:00:00,,,,,,
2003-09-01T00:00:00,-0.97343284,335.0,-4.6,0.9,1.066076,0.05824595620153372
2003-10-01T00:00:00,-3.992876,744.0,-17.6,3.8,3.5830305,0.13136027008119758
2003-11-01T00:00:00,-15.965972,720.0,-34.1,1.4,8.400132,0.31305444288015627
2003-12-01T00:00:00,-22.235624,741.0,-36.5,-7.4,5.3986473,0.19832426439063633
2004-01-01T00:00:00,-22.786695,744.0,-33.7,-1.7,7.215405,0.264529581275848
2004-02-01T00:00:00,-31.019344,672.0,-40.3,-22.7,3.9186118,0.15116373063153615
2004-03-01T00:00:00,-26.123302,648.0,-39.5,-4.0,7.595253,0.2983697163648553
2004-04-01T00:00:00,-17.875557,720.0,-32.0,-2.4,5.4306035,0.2023866432366179
2004-05-01T00:00:00,-4.7572913,672.0,-15.2,1.4,4.0159736,0.15491954372396277
2004-06-01T00:00:00,1.9660492,648.0,-4.7,15.9,3.685916,0.1447964533877427
2004-07-01T00:00:00,5.1055107,744.0,-1.6,18.7,4.0379496,0.14803841346992658
2004-08-01T00:00:00,6.3968387,696.0,-0.7,15.4,3.5601952,0.13494885108186913
2004-09-01T00:00:00,0.8372223,720.0,-4.1,8.8,2.4152014,0.09000924278149154
2004-10-01T00:00:00,-5.405914,744.0,-18.1,0.7,3.9029236,0.14308812093502726
2004-11-01T00:00:00,-16.459166,720.0,-25.6,-5.1,4.447699,0.16575595773217888
2004-12-01T00:00:00,-22.879704,744.0,-35.4,-4.7,5.4482126,0.19974116581832493
2005-01-01T00:00:00,-22.374596,744.0,-38.1,-0.5,8.526864,0.3126100033446303
2005-02-01T00:00:00,-25.161606,672.0,-33.5,-13.2,3.9194057,0.15119435729542208
2005-03-01T00:00:00,-22.752823,744.0,-34.2,-6.5,6.0147457,0.2205112765732392
2005-04-01T00:00:00,-17.403593,696.0,-28.9,-1.2,6.069217,0.23005308446010056
2005-05-01T00:00:00,-5.718952,744.0,-18.3,0.1,3.7692947,0.13818904977642932
2005-06-01T00:00:00,0.037361104,720.0,-6.8,13.5,2.575495,0.09598303176862209
