time,average,count,minimum,maximum,standard_deviation,standard_error
2002-01-01T00:00:00,-7.208056,2495,-32.3,14.1,9.3464985,0.18711718062048416
2003-01-01T00:00:00,-16.243422,3717,-43.0,3.8,10.808211,0.17727910359223648
2004-01-01T00:00:00,-11.043569,8472,-40.3,18.7,13.501723,0.14668855470177128
2005-01-01T00:00:00,-10.6211195,8736,-38.1,17.1,11.873978,0.1270398331980494
2006-01-01T00:00:00,-10.48683,8208,-42.5,15.5,12.378413,0.13663007344185232
2007-01-01T00:00:00,-9.59494,8437,-41.2,23.7,13.102183,0.14264273186612864
2008-01-01T00:00:00,-10.957396,8647,-44.3,15.3,12.746745,0.1370776252444841
2009-01-01T00:00:00,-10.928575,8742,-45.8,22.0,13.341805,0.14269514682722548
2010-01-01T00:00:00,-10.28489,8670,-42.5,19.1,12.785766,0.13731475020241202
2011-01-01T00:00:00,-10.2892275,8643,-42.5,14.8,12.418758,0.13358137867365438
2012-01-01T00:00:00,-10.924335,8535,-43.7,17.9,14.397223,0.15583929795194987
2013-01-01T00:00:00,-10.342866,8746,-38.5,17.1,12.16425,0.13007104039591963
2014-01-01T00:00:00,-9.7827215,8704,-39.5,14.8,11.205921,0.12011247665027475
2015-01-01T00:00:00,-10.070287,8703,-39.2,19.5,12.293675,0.1317793165852091
2016-01-01T00:00:00,-8.210328,8637,-34.1,19.1,10.540675,0.1134193019081621
2017-01-01T00:00:00,-8.031627,8635,-39.5,20.2,11.44844,0.12320125340157115
2018-01-01T00:00:00,-8.880754,8709,-37.7,18.6,10.655279,0.11417754140800404
2019-01-01T00:00:00,-6.656519,8707,-38.3,19.2,11.535794,0.12362697124608757
2020-01-01T00:00:00,-9.462617,8322,-42.7,16.6,12.749,0.13975335789948642
2021-01-01T00:00:00,-4.6227345,5639,-36.7,14.2,10.093576,0.13441385246185333
2022-01-01T00:00:00,-9.686073,8753,-40.3,18.8,12.27545,0.13120758703716848
2023-01-01T00:00:00,-8.55865,8735,-38.6,22.7,12.113051,0.1296051043157273
2024-01-01T00:00:00,-9.131694,8765,-39.0,21.7,11.945722,0.127595814885675
2025-01-01T00:00:00,-9.120241,8720,-40.6,15.2,11.155578,0.11946311132661418
2026-01-01T00:00:00,-25.4,1,-25.4,-25.4,0.0,0.0
