time,average,count,minimum,maximum,standard_deviation,standard_error
2019-06-01T00:00:00,87.40839,29259,28.0,98.0,10.8715,0.06355646463625689
2019-07-01T00:00:00,89.64237,44611,53.0,99.0,8.433449,0.03992861378966596
2019-08-01T00:00:00,87.59436,44591,68.0,98.0,6.7350016,0.03189437490917919
2019-09-01T00:00:00,90.14034,43151,61.0,99.0,6.8651147,0.03304854657478525
2019-10-01T00:00:00,87.190895,30279,57.0,99.0,8.287174,0.04762507858621364
2019-11-01T00:00:00,,0,,,,
2019-12-01T00:00:00,80.186485,25128,71.0,92.0,4.8735776,0.030744605403004114
2020-01-01T00:00:00,77.3879,44259,68.0,93.0,5.2480793,0.02494592372816422
2020-02-01T00:00:00,71.964386,41444,65.4,83.2,4.4031396,0.021628759993331123
2020-03-01T00:00:00,79.12141,44474,61.2,95.8,7.5574255,0.03583610321160985
2020-04-01T00:00:00,84.36922,41733,70.1,96.6,5.149091,0.025205234648485116
2020-05-01T00:00:00,89.762276,44598,71.5,98.4,4.2063265,0.019917979769712685
2020-06-01T00:00:00,90.65047,43170,41.3,98.6,6.498044,0.031274589957526536
2020-07-01T00:00:00,91.34245,44602,62.3,98.6,5.606438,0.02654665889437593
2020-08-01T00:00:00,93.62851,44622,69.0,99.1,4.883309,0.023117436851231958
2020-09-01T00:00:00,91.76583,38953,63.5,99.1,7.0098763,0.03551729608938424
2020-10-01T00:00:00,86.52971,43493,53.9,99.0,9.17166,0.04397828449150538
2020-11-01T00:00:00,87.35557,37142,61.9,97.7,5.7478933,0.02982469817266561
2020-12-01T00:00:00,80.67666,43091,70.2,93.3,3.6146076,0.017412770165636665
2021-01-01T00:00:00,80.329666,44594,71.3,87.9,3.1285386,0.014815056228158983
2021-02-01T00:00:00,74.34292,39932,64.9,83.4,3.77908,0.018911481167042832
2021-03-01T00:00:00,78.198715,44475,49.1,96.0,3.9186397,0.01858135373913914
2021-04-01T00:00:00,82.59581,43086,66.3,96.5,6.0916977,0.02934744208916792
2021-05-01T00:00:00,89.71543,43299,70.6,97.4,3.800733,0.018265368511390993
2021-06-01T00:00:00,90.69414,43198,63.6,98.7,6.027158,0.028998847683699026
2021-07-01T00:00:00,92.988655,44326,65.1,99.2,5.597646,0.026587418835264616
2021-08-01T00:00:00,89.34858,44605,60.3,99.2,6.5226564,0.03088394228971315
2021-09-01T00:00:00,90.128334,39338,64.5,99.0,6.925798,0.0349191512249958
2021-10-01T00:00:00,88.86644,44636,61.6,98.7,5.7509756,0.027220675054105463
2021-11-01T00:00:00,83.07066,43170,58.1,95.7,5.2970104,0.025494106931983708
