time,average,count,minimum,maximum,standard_deviation,standard_error
2019-06-01T00:00:00,2.5089517,29258,-2.9,16.6,2.9895403,0.0174776122488331
2019-07-01T00:00:00,8.135123,44611,1.8,19.6,2.6430087,0.012513465913121781
2019-08-01T00:00:00,5.513996,44590,2.1,11.6,1.5217212,0.007206366861759171
2019-09-01T00:00:00,4.6556535,43151,-2.7,15.6,3.308753,0.015928281322380274
2019-10-01T00:00:00,-0.28279597,30272,-10.1,5.7,2.7577076,0.01584994129354176
2019-11-01T00:00:00,,0,,,,
2019-12-01T00:00:00,-22.350658,25126,-35.0,-8.2,6.273769,0.039579184298295655
2020-01-01T00:00:00,-25.75575,44254,-38.2,-6.2,7.0862746,0.033685400354827796
2020-02-01T00:00:00,-33.00028,40263,-43.1,-18.2,6.19096,0.030853534837646586
2020-03-01T00:00:00,-21.552362,44469,-41.8,-0.6,10.64011,0.05045653661387559
2020-04-01T00:00:00,-13.5149765,41731,-30.3,-2.1,6.306254,0.03087038579038252
2020-05-01T00:00:00,-5.779008,44598,-21.1,1.5,4.952891,0.023453143869934193
2020-06-01T00:00:00,1.1969167,43169,-2.9,16.9,2.5663009,0.012351553299665186
2020-07-01T00:00:00,2.2332623,44600,-2.0,11.1,2.1529558,0.010194541040849714
2020-08-01T00:00:00,4.4481063,44622,-1.4,15.0,2.401499,0.011368623923297714
2020-09-01T00:00:00,1.5148537,38953,-2.7,9.5,1.9191042,0.0097236228303426
2020-10-01T00:00:00,-3.640593,43493,-17.9,1.8,3.6024854,0.017273985439021033
2020-11-01T00:00:00,-8.582566,37142,-17.6,0.4,4.051748,0.021023729593521157
2020-12-01T00:00:00,-20.658243,43091,-33.0,-7.8,4.9789896,0.023985453425132763
2021-01-01T00:00:00,-21.871527,44593,-32.3,-13.2,4.16183,0.019708382650091602
2021-02-01T00:00:00,-29.736752,39929,-44.1,-19.0,5.5728025,0.02788877499915498
2021-03-01T00:00:00,-24.121689,44473,-36.8,-3.3,5.237497,0.02483565176756922
2021-04-01T00:00:00,-16.322796,43085,-35.1,0.3,9.156076,0.04411094487960961
2021-05-01T00:00:00,-5.593827,43299,-18.4,0.9,4.085184,0.019632368603061518
2021-06-01T00:00:00,1.1378188,43198,-3.8,14.5,2.9956717,0.014413266067240698
2021-07-01T00:00:00,3.8527186,44326,-2.6,13.9,3.3155513,0.015748038881691205
2021-08-01T00:00:00,2.7107723,44605,-4.6,12.1,2.674021,0.012661146753586896
2021-09-01T00:00:00,0.39655548,39338,-12.4,11.6,2.913583,0.01468998196024599
2021-10-01T00:00:00,-4.6931243,44636,-23.4,0.0,4.071322,0.019270492481274857
2021-11-01T00:00:00,-14.572182,43169,-31.6,-2.4,7.6521225,0.03682950819458365
2021-12-01T00:00:00,-22.957474,43055,-37.5,-4.4,7.127542,0.03435009871707996
2022-01-01T00:00:00,-25.271257,44512,-37.5,-8.0,5.532544,0.026223238993863075
2022-02-01T00:00:00,-28.717697,39802,-40.6,-3.8,8.579836,0.043005750737259305
2022-03-01T00:00:00,-21.852568,44533,-38.0,-5.8,6.009773,0.02847849771098464
2022-04-01T00:00:00,-17.478416,41739,-31.9,-4.7,5.5317216,0.027076298562794986
2022-05-01T00:00:00,-5.1307116,44638,-11.9,2.5,3.36243,0.015914789556977515
2022-06-01T00:00:00,1.9342047,43196,-5.7,19.2,5.1557474,0.02480674979669163
2022-07-01T00:00:00,3.0019617,41545,-1.2,14.1,2.3009489,0.011288794943772313
2022-08-01T00:00:00,3.6991444,45228,-1.3,17.2,2.8642828,0.013468282287031366
2022-09-01T00:00:00,0.7181783,23011,-3.1,8.3,2.0914323,0.013787199873043781
2022-10-01T00:00:00,-3.9362037,43200,-21.1,4.7,3.5623622,0.01713942309743521
2022-11-01T00:00:00,-10.871181,34550,-30.8,-0.4,6.227251,0.03350212455206714
2022-12-01T00:00:00,-15.295023,44488,-30.2,5.4,6.863439,0.03254020932858563
2023-01-01T00:00:00,-21.652267,44640,-32.2,-13.1,3.757067,0.017782255374075316
2023-02-01T00:00:00,-24.916737,40319,-39.0,-2.3,5.5222096,0.027501603350617562
2023-03-01T00:00:00,-20.80893,43053,-39.0,-1.0,8.886072,0.04282606048170434
2023-04-01T00:00:00,-19.817757,43045,-34.1,-8.0,5.3858166,0.025959134127891643
2023-05-01T00:00:00,-4.197801,43200,-13.4,3.6,3.6991389,0.01779749023340404
2023-06-01T00:00:00,0.6318842,43200,-9.3,14.0,3.318811,0.015967636578971243
2023-07-01T00:00:00,6.850381,44640,-0.2,21.8,4.1109595,0.019457234292535226
2023-08-01T00:00:00,6.13286,44640,0.6,23.2,3.686611,0.017448785916676094
2023-09-01T00:00:00,2.5757618,43200,-1.5,9.1,1.7320408,0.008333285005903949
2023-10-01T00:00:00,-3.1344445,43200,-18.5,1.7,3.2455869,0.015615337119047747
2023-11-01T00:00:00,-9.566006,41760,-22.9,0.0,3.889975,0.01903560012559968
2023-12-01T00:00:00,-16.900537,43200,-30.5,0.0,5.1964703,0.025001529198374246
2024-01-01T00:00:00,-21.855633,37440,-37.7,0.0,7.061116,0.03649265316972917
2024-02-01T00:00:00,-22.551052,37440,-35.2,0.0,5.3400097,0.027597778521665787
2024-03-01T00:00:00,-23.29331,44640,-38.4,0.0,8.959498,0.042405442902472924
2024-04-01T00:00:00,-14.779146,43200,-34.7,2.6,6.391586,0.030751531647451442
2024-05-01T00:00:00,-4.6355524,41764,-18.1,5.6,4.192153,0.020513325846106878
2024-06-01T00:00:00,0.9291714,43200,-5.3,19.0,3.164337,0.015224423103702324
2024-07-01T00:00:00,3.2603316,44640,-1.8,17.6,3.1516216,0.014916673112498365
2024-08-01T00:00:00,5.1653132,43204,-1.3,22.2,3.919906,0.01885878298769193
2024-09-01T00:00:00,2.7548835,40320,-3.5,11.4,2.469998,0.012300883894038986
2024-10-01T00:00:00,-2.6442103,43205,-12.4,4.0,2.55324,0.012283571135858413
2024-11-01T00:00:00,-12.065118,36000,-25.4,-3.7,5.609783,0.02956615334187491
2024-12-01T00:00:00,-20.190357,27360,-37.3,-7.4,5.730376,0.0346437626915507
2025-01-01T00:00:00,-20.41564,44640,-33.7,-0.7,7.1991196,0.034073542956100024
2025-02-01T00:00:00,-21.589352,40320,-36.7,-1.3,6.9575663,0.03464950936181392
2025-03-01T00:00:00,-20.017809,44640,-28.7,-2.8,4.8198056,0.022812213682022523
2025-04-01T00:00:00,-15.255833,40320,-30.8,-8.0,4.054923,0.020194000196003366
2025-05-01T00:00:00,-7.392762,44640,-19.4,0.5,3.5072756,0.016599988936659073
2025-06-01T00:00:00,1.0513681,43200,-8.0,13.4,3.872774,0.018632892045291626
2025-07-01T00:00:00,4.0312724,44640,-1.1,14.0,2.9449792,0.0139386315253434
2025-08-01T00:00:00,4.167296,44640,-2.3,17.5,3.9910274,0.01888959347655207
2025-09-01T00:00:00,1.4321715,43200,-4.7,14.2,3.1032813,0.014930668921372162
2025-10-01T00:00:00,-4.6940074,44640,-23.8,3.5,4.8074665,0.022753812461443333
2025-11-01T00:00:00,-10.879833,43200,-23.1,-2.9,4.921849,0.023680255954619155
2025-12-01T00:00:00,-20.764715,44640,-40.9,0.0,7.9483004,0.037619427104498816
