time,average,count,minimum,maximum,standard_deviation,standard_error
2003-10-01T00:00:00,99.7214,1440,98.6,100.4,0.51741993,0.013635212492304661
2003-11-01T00:00:00,84.790665,43139,62.37,101.0,7.3500166,0.03538777707737438
2003-12-01T00:00:00,82.0164,44528,55.57,97.7,4.6811986,0.022184031421107635
2004-01-01T00:00:00,79.98978,44468,64.8,97.6,4.982187,0.023626326850255425
2004-02-01T00:00:00,72.86106,41206,60.3,82.5,4.1756096,0.020570254129759487
2004-03-01T00:00:00,76.86889,44638,57.91,98.4,6.7416844,0.03190921030872161
2004-04-01T00:00:00,84.9493,43198,68.97,100.1,4.767294,0.02293718457468023
2004-05-01T00:00:00,91.87935,44640,-2355.0,100.1,12.511562,0.05921741583443912
2004-06-01T00:00:00,94.0748,43198,-261.0,100.2,5.8859124,0.02831926487254173
2004-07-01T00:00:00,92.84961,44638,53.33,100.5,6.1663017,0.02918585414192678
2004-08-01T00:00:00,91.88281,44639,57.8,100.1,6.6251493,0.03135728389442411
2004-09-01T00:00:00,85.54343,43196,53.04,99.6,8.46044,0.040707194034853594
2004-10-01T00:00:00,88.41395,43801,68.18,2515.0,13.282207,0.06346411324659584
2004-11-01T00:00:00,85.878265,43179,6.771,99.0,4.2780867,0.020587958676768204
2004-12-01T00:00:00,81.21273,44014,63.75,96.1,4.9953523,0.023810619787376114
2005-01-01T00:00:00,81.994385,44640,61.53,98.8,6.4015346,0.030298560909868627
2005-02-01T00:00:00,80.130295,40318,69.02,93.6,3.5105877,0.017483578814913883
2005-03-01T00:00:00,80.91642,42916,70.4,96.2,5.011398,0.024190746088237354
2005-04-01T00:00:00,85.48326,43200,2.672,98.9,4.4139605,0.021236677149613664
2005-05-01T00:00:00,93.47461,44638,81.1,99.4,3.5112267,0.016619061719087263
2005-06-01T00:00:00,94.17001,43198,67.02,99.7,4.881442,0.023486392782394613
2005-07-01T00:00:00,89.89156,44624,57.31,99.3,7.466488,0.03534533614295768
2005-08-01T00:00:00,92.922325,44508,53.98,100.0,6.270641,0.02972301684776093
2005-09-01T00:00:00,90.347305,43196,58.39,100.0,7.365026,0.035436638473509405
2005-10-01T00:00:00,88.313675,44635,12.13,99.5,6.451032,0.030534543919731975
2005-11-01T00:00:00,84.43207,43199,65.14,95.8,4.0317073,0.01939778524060085
2005-12-01T00:00:00,83.54187,44640,69.66,94.3,3.8753672,0.018342172026614784
2006-01-01T00:00:00,80.11062,44635,56.88,90.7,6.0812593,0.028784305057110837
2006-02-01T00:00:00,79.60883,39452,-2.292,2536.0,15.334348,0.07720239883580719
2006-03-01T00:00:00,75.16165,44640,59.2,88.4,5.516542,0.026109877409036232
2006-04-01T00:00:00,82.08159,43200,65.58,93.5,4.3985405,0.021162487832367172
2006-05-01T00:00:00,91.72093,44640,76.0,99.7,4.122577,0.01951222085736853
2006-06-01T00:00:00,90.35794,43200,56.78,2529.0,13.475472,0.0648338970551074
2006-07-01T00:00:00,93.09691,44639,63.09,100.0,5.2248898,0.024729760068674236
2006-08-01T00:00:00,93.72956,44638,62.55,2546.0,12.631135,0.05978469424260812
2006-09-01T00:00:00,93.94217,43197,2.477,100.1,8.472868,0.04076652053546115
2006-10-01T00:00:00,89.40396,44639,59.88,99.9,6.825811,0.032307029232690805
2006-11-01T00:00:00,85.83649,43054,59.65,99.7,5.807988,0.027991035794793048
2006-12-01T00:00:00,82.82585,44615,56.32,98.4,6.1896095,0.02930372322151589
2007-01-01T00:00:00,77.27031,44638,61.02,86.9,4.189739,0.019830544042187467
2007-02-01T00:00:00,79.470215,40318,62.83,97.5,6.699859,0.03336692475209185
2007-03-01T00:00:00,76.82822,44637,62.95,95.0,6.69793,0.031702469692953004
2007-04-01T00:00:00,88.363014,43200,74.8,97.3,4.0390143,0.019432716801170802
2007-05-01T00:00:00,90.16714,44639,73.9,98.2,4.2714567,0.020217096386530853
2007-06-01T00:00:00,92.59578,43193,58.7,99.6,5.1591043,0.02482376362978182
2007-07-01T00:00:00,91.12191,44639,16.1,100.0,7.9167824,0.03747067171237684
2007-08-01T00:00:00,93.77644,44637,45.53,100.3,6.6023192,0.03124992796708385
2007-09-01T00:00:00,92.183784,43170,58.84,100.5,6.62197,0.03187103712158584
2007-10-01T00:00:00,85.760345,44639,12.82,97.7,6.652752,0.031487929228977876
2007-11-01T00:00:00,88.601105,43199,73.5,96.0,4.1892543,0.020155792356953483
2007-12-01T00:00:00,82.51471,44605,58.37,94.0,6.591616,0.03121045769266404
2008-01-01T00:00:00,74.07051,44555,57.17,95.3,7.2409687,0.03430429089516222
2008-02-01T00:00:00,76.56183,41759,62.04,94.6,6.3311467,0.030981848994965717
2008-03-01T00:00:00,74.3749,44640,62.6,89.8,3.8450696,0.018198773411869217
2008-04-01T00:00:00,85.83553,43197,-2358.0,95.8,12.804168,0.06160621994005455
2008-05-01T00:00:00,90.393974,44639,68.08,98.9,4.359066,0.020631757144862813
2008-06-01T00:00:00,92.48165,40374,50.43,99.4,7.0404224,0.0350386874506039
2008-07-01T00:00:00,97.27186,44637,-193.4,2539.0,26.029396,0.1232016693185138
2008-08-01T00:00:00,93.19472,44590,-141.1,215.3,11.245477,0.053254846198899614
2008-09-01T00:00:00,89.930626,35460,0.0,106.5,7.2709475,0.038611941593860034
2008-10-01T00:00:00,81.834175,44640,52.27,110.0,9.409607,0.04453581344623171
2008-11-01T00:00:00,82.96117,43200,71.0,107.0,3.8109283,0.018335337547418798
2008-12-01T00:00:00,83.347206,44631,0.0,110.0,6.129201,0.02901252651159354
2009-01-01T00:00:00,77.78271,44604,62.03,97.1,4.0583754,0.019216102597305565
2009-02-01T00:00:00,75.05762,40320,58.06,93.3,5.445813,0.02712079880270976
2009-03-01T00:00:00,76.81981,44598,64.66,110.0,4.210058,0.019935650408241468
2009-04-01T00:00:00,81.339035,43188,62.41,110.0,5.0463266,0.02428252316061264
2009-05-01T00:00:00,87.16386,44640,66.19,99.5,6.140099,0.029061182650914587
2009-06-01T00:00:00,95.663795,42989,71.9,105.5,4.781971,0.023063661990596774
2009-07-01T00:00:00,89.68495,44515,37.01,104.9,9.150392,0.043369707252891146
2009-08-01T00:00:00,87.10347,44550,45.52,100.4,8.956738,0.04243517907637841
2009-09-01T00:00:00,85.41573,43200,57.61,99.2,8.640055,0.04156948257042399
2009-10-01T00:00:00,87.090416,44610,0.0,101.8,7.3534703,0.034815788270906964
2009-11-01T00:00:00,81.219864,43200,60.72,94.4,4.0168786,0.0193262161986222
2009-12-01T00:00:00,81.67557,44640,64.02,100.6,5.6317225,0.026655028440149747
2010-01-01T00:00:00,76.524315,44597,62.97,94.2,5.0099287,0.023723497852185155
2010-02-01T00:00:00,78.28088,40320,65.22,93.6,3.7021112,0.018436955308368218
2010-03-01T00:00:00,77.97518,44640,60.53,98.7,4.415542,0.02089882837424031
2010-04-01T00:00:00,85.48689,43200,73.6,103.6,4.1705437,0.020065537590994567
2010-05-01T00:00:00,89.45484,44640,72.9,105.5,4.8864408,0.023127598779546142
2010-06-01T00:00:00,92.573845,43200,63.59,104.9,4.4105887,0.021220454975631044
2010-07-01T00:00:00,90.02739,44640,58.84,101.2,7.189024,0.03402576034443319
2010-08-01T00:00:00,91.46493,44640,44.41,100.7,7.074171,0.03348215978820231
2010-09-01T00:00:00,86.502754,43194,48.08,100.4,10.969011,0.052778345546019005
2010-10-01T00:00:00,82.70541,44494,51.0,95.6,7.3312163,0.03475564158639691
2010-11-01T00:00:00,87.39256,43129,64.16,103.4,5.5971904,0.026951651648966707
2010-12-01T00:00:00,81.71282,44640,66.9,98.1,3.0120149,0.014255912400016089
2011-01-01T00:00:00,81.84244,44312,65.55,102.2,5.9617105,0.028321105605154738
2011-02-01T00:00:00,82.22773,40320,70.1,98.8,5.3281503,0.026534823501536377
2011-03-01T00:00:00,82.97706,44640,70.2,110.0,4.63295,0.02192782235759291
2011-04-01T00:00:00,83.54844,41348,51.04,110.0,5.8490562,0.028764613551217854
2011-05-01T00:00:00,92.117424,43951,70.5,103.3,6.3524055,0.030300781935374783
2011-06-01T00:00:00,92.47242,43199,71.2,102.7,5.7252073,0.027545735421952322
2011-07-01T00:00:00,91.842316,44513,50.13,102.8,6.833652,0.032389886603664486
2011-08-01T00:00:00,90.74009,44640,43.33,99.4,6.768593,0.032035853346155246
2011-09-01T00:00:00,84.76779,43200,56.7,99.7,8.749455,0.04209583717045686
2011-10-01T00:00:00,84.199165,43265,53.22,102.7,8.42358,0.0404975135598464
2011-11-01T00:00:00,78.47271,43200,49.06,92.5,5.624673,0.02706172005814462
2011-12-01T00:00:00,77.71862,44427,69.03,87.0,2.4789803,0.01176114439848082
2012-01-01T00:00:00,73.93458,44520,62.92,90.5,3.493982,0.016559342734663064
2012-02-01T00:00:00,76.36366,41760,61.82,89.6,5.386112,0.026356949967731854
2012-03-01T00:00:00,73.31597,44640,62.68,97.8,3.1344092,0.014835206603272137
2012-04-01T00:00:00,82.79015,43200,67.21,105.5,4.9969983,0.02404181932891711
2012-05-01T00:00:00,87.90656,43140,62.59,104.4,6.572786,0.03164531423456447
2012-06-01T00:00:00,88.54583,43200,49.31,100.4,7.435586,0.035774479705186546
2012-07-01T00:00:00,86.91425,44610,36.05,106.0,9.842343,0.04659962253377257
2012-08-01T00:00:00,90.42098,44617,48.68,103.1,9.416427,0.044579577222839596
2012-09-01T00:00:00,89.45841,42906,56.47,104.3,9.08432,0.04385644381197011
2012-10-01T00:00:00,85.57178,44640,41.56,103.2,10.677674,0.05053759564366044
2012-11-01T00:00:00,84.31529,43200,58.74,99.8,5.532926,0.026620303026681755
2012-12-01T00:00:00,78.58496,44640,64.08,91.8,4.1563287,0.0196719671647085
2013-01-01T00:00:00,78.63211,44640,65.06,90.7,3.780352,0.01789246434744678
2013-02-01T00:00:00,75.81739,40291,68.03,90.0,2.5031888,0.012470664404176508
2013-03-01T00:00:00,79.79379,44640,69.92,97.0,4.064602,0.01923782291318335
2013-04-01T00:00:00,83.5664,43200,63.88,110.0,6.876316,0.033083691119740216
2013-05-01T00:00:00,90.4102,44640,71.2,108.8,6.9870243,0.03306969284562577
2013-06-01T00:00:00,90.6513,43177,54.61,105.2,8.401329,0.04043167768780482
2013-07-01T00:00:00,94.68189,44598,65.16,107.9,6.3852367,0.030235650199191125
2013-08-01T00:00:00,93.63328,44633,59.46,110.0,7.657216,0.036244562579708726
2013-09-01T00:00:00,91.397,43200,58.0,103.1,7.4469514,0.03582916157718142
2013-10-01T00:00:00,94.08118,44595,65.81,104.2,5.462664,0.025867914364508963
2013-11-01T00:00:00,83.10192,43200,54.53,100.5,6.4145813,0.03086216866347631
2013-12-01T00:00:00,84.52817,44640,70.3,100.9,6.263227,0.029643949060294262
2014-01-01T00:00:00,80.052086,44617,67.12,96.8,5.170552,0.02447860749928104
2014-02-01T00:00:00,80.33284,40272,65.5,99.8,7.2357807,0.03605651911581314
2014-03-01T00:00:00,81.93442,44640,69.14,110.0,4.741838,0.022443191632445535
2014-04-01T00:00:00,86.55213,43200,67.25,101.0,5.9847655,0.028794216579751303
2014-05-01T00:00:00,89.797516,44640,57.95,104.7,7.3713627,0.03488877226775191
2014-06-01T00:00:00,97.18488,43200,77.9,110.0,4.1164503,0.01980528078701545
2014-07-01T00:00:00,95.40419,44594,58.41,110.0,5.9049788,0.027962765746240754
2014-08-01T00:00:00,95.13345,44640,55.67,109.5,7.3855333,0.03495584215503299
2014-09-01T00:00:00,90.71049,40259,37.92,107.0,9.308575,0.04639291865596626
2014-10-01T00:00:00,86.11981,41612,-0.7,110.0,8.4371605,0.04136061763695554
2014-11-01T00:00:00,89.12375,43200,72.65,106.7,4.8561563,0.023364193128560102
2014-12-01T00:00:00,81.78485,44580,69.49,100.1,3.5562584,0.01684314868185288
2015-01-01T00:00:00,80.693016,44580,67.16,107.2,4.7281804,0.022393604671267598
2015-02-01T00:00:00,81.17454,40260,62.4,107.3,6.8107977,0.03394384963112258
2015-03-01T00:00:00,77.25003,44580,44.69,110.0,7.5214887,0.035623269246618676
2015-04-01T00:00:00,79.82784,43140,39.54,104.8,9.80882,0.04722551301631801
2015-05-01T00:00:00,86.398575,44640,50.41,109.5,8.95892,0.042402703053117004
2015-06-01T00:00:00,84.08996,43200,47.18,104.8,10.69407,0.05145186761474595
2015-07-01T00:00:00,90.288475,43200,55.91,107.6,9.493156,0.04567397018427225
2015-08-01T00:00:00,90.1085,44640,59.83,104.2,8.405192,0.03978190398840367
2015-09-01T00:00:00,87.06706,43200,59.22,106.4,10.205221,0.04909989327657005
2015-10-01T00:00:00,87.30775,44613,59.92,99.9,5.388482,0.02551148444869859
2015-11-01T00:00:00,85.80767,43200,72.54,99.3,5.886237,0.02832017166561544
2015-12-01T00:00:00,78.33453,44640,67.58,94.6,3.7864535,0.017921342224245525
2016-01-01T00:00:00,83.63068,44640,72.79,103.6,3.6839461,0.017436173356440873
2016-02-01T00:00:00,80.91372,41760,64.95,95.7,4.1962705,0.020534457200833262
2016-03-01T00:00:00,79.63155,44640,69.68,110.0,3.680906,0.017421784633567174
2016-04-01T00:00:00,84.55328,43200,71.21,99.9,6.405742,0.030819641377503204
