time,average,count,minimum,maximum,standard_deviation,standard_error
2003-01-01T00:00:00,83.645615,89107,55.57,101.0,6.5761824,0.022030174491777618
2004-01-01T00:00:00,85.5961,524815,-2355.0,2515.0,9.892349,0.013655145145899812
2005-01-01T00:00:00,87.19526,523712,2.672,100.0,7.27677,0.010055238879854822
2006-01-01T00:00:00,86.54091,524549,-2.292,2546.0,10.534364,0.014545052010725543
2007-01-01T00:00:00,86.57003,525514,12.82,100.5,8.337609,0.011501365223313176
2008-01-01T00:00:00,85.09714,516322,-2358.0,2539.0,12.970365,0.018050609386843303
2009-01-01T00:00:00,83.87833,525054,0.0,110.0,8.544596,0.011792056014520148
2010-01-01T00:00:00,85.03212,525334,44.41,105.5,8.0142565,0.011057208071516875
2011-01-01T00:00:00,85.276886,521015,43.33,110.0,8.057192,0.011162425961335962
2012-01-01T00:00:00,83.16478,525073,36.05,106.0,9.230308,0.01273814915099305
2013-01-01T00:00:00,86.77433,525454,54.53,110.0,8.859539,0.012222042079028326
2014-01-01T00:00:00,87.86775,519454,-0.7,110.0,8.627749,0.011970822104811313
2015-01-01T00:00:00,84.03526,523893,39.54,110.0,9.03103,0.01247716656452143
2016-01-01T00:00:00,87.077896,526826,36.32,110.0,8.601548,0.011850673336198396
2017-01-01T00:00:00,85.61244,524434,50.26,110.0,7.48254,0.010332457669747937
2018-01-01T00:00:00,86.30735,525600,58.12,110.0,7.1947417,0.009924017698909843
2019-01-01T00:00:00,86.24616,525546,27.75,110.0,8.004588,0.011041641005246228
2020-01-01T00:00:00,86.8939,526472,37.15,110.0,8.921691,0.012295877715105707
2021-01-01T00:00:00,86.18678,483622,50.08,110.0,8.252654,0.011866991107233299
2022-01-01T00:00:00,85.46685,522413,15.99,110.0,10.587222,0.014647888856581685
2023-01-01T00:00:00,84.581245,525338,43.79,110.0,9.09602,0.012549660760516227
2024-01-01T00:00:00,86.26406,524988,50.02,110.0,9.653541,0.013323304070298648
2025-01-01T00:00:00,93.45992,519321,53.62,110.0,12.692215,0.01761243797615421
