time,average,count,minimum,maximum,standard_deviation,standard_error
2003-10-01T00:00:00,-0.87134033,1440,-3.414,0.131,0.79376996,0.02091767498348025
2003-11-01T00:00:00,-15.870939,43139,-34.46,1.399,8.274403,0.03983837472562546
2003-12-01T00:00:00,-22.135721,44525,-36.74,-6.452,5.212341,0.02470192746693319
2004-01-01T00:00:00,-22.716995,44467,-33.64,-1.66,7.1572413,0.03394116513977913
2004-02-01T00:00:00,-31.189316,41205,-40.51,-22.56,3.8618178,0.01902465653374304
2004-03-01T00:00:00,-26.697424,44638,-40.17,-3.833,7.4242506,0.03513987877774792
2004-04-01T00:00:00,-17.874363,43199,-32.1,-2.142,5.4814296,0.02637284559096865
2004-05-01T00:00:00,-4.9392095,44639,-15.3,2.876,4.1069484,0.019438467164499786
2004-06-01T00:00:00,1.9818078,43196,-5.194,16.7,3.7598615,0.018090479469902693
2004-07-01T00:00:00,4.9647784,44635,-1.783,20.12,4.0589037,0.019211929193384887
2004-08-01T00:00:00,6.6095176,44640,-0.922,853.0,5.4892898,0.025980892342817502
2004-09-01T00:00:00,0.7693524,43195,-4.551,9.23,2.3761635,0.011432983536435406
2004-10-01T00:00:00,-5.2988477,43799,-18.81,0.738,3.814129,0.018224821903501044
2004-11-01T00:00:00,-16.510086,43175,-25.53,-4.896,4.3881664,0.021118687184167376
2004-12-01T00:00:00,-22.7231,44012,-35.76,-4.058,5.214615,0.024856311704611285
2005-01-01T00:00:00,-22.34707,44638,-38.61,-0.551,8.446951,0.03998044341298848
2005-02-01T00:00:00,-25.208532,40318,-34.05,-11.6,3.8789566,0.019318145170268527
2005-03-01T00:00:00,-22.86341,42916,-34.47,-6.151,5.9609027,0.02877414408041647
2005-04-01T00:00:00,-17.028557,43199,-29.14,-1.042,6.297728,0.030300308964147555
2005-05-01T00:00:00,-5.6907954,44635,-19.89,0.293,3.8134377,0.01805006982218977
2005-06-01T00:00:00,-0.0201833,43196,-6.846,15.39,2.5706594,0.012368663436782284
2005-07-01T00:00:00,2.9676044,44625,-1.61,9.61,2.3561242,0.01115344573247433
2005-08-01T00:00:00,5.193508,44506,-1.378,17.83,4.4978957,0.021320633288531163
2005-09-01T00:00:00,0.9240475,43197,-4.572,6.812,1.9782152,0.009518022895900528
2005-10-01T00:00:00,-5.2733536,44634,-18.11,1.155,3.1245868,0.01478971114804759
