time,average,count,minimum,maximum,standard_deviation,standard_error
2003-01-01T00:00:00,-18.759026,89104,-36.74,1.399,7.8511257,0.02630167041488366
2004-01-01T00:00:00,-11.031202,524800,-40.51,853.0,13.654685,0.018848846310991058
2005-01-01T00:00:00,-10.543531,523699,-38.61,17.83,11.852807,0.016378734466728516
2006-01-01T00:00:00,-10.450878,524547,-49.46,17.35,12.814917,0.017693900499415716
2007-01-01T00:00:00,-9.516758,525516,-41.15,519.8,12.771202,0.017617277916375684
2008-01-01T00:00:00,-11.024663,516327,-43.84,235.5,12.762243,0.01776088494018045
2009-01-01T00:00:00,-10.767089,525054,-45.67,22.57,13.157506,0.018158149636118847
2010-01-01T00:00:00,-10.106669,525334,-42.08,19.51,12.626114,0.017420152303407162
2011-01-01T00:00:00,-10.184379,521015,-42.62,17.59,12.359965,0.01712348426203061
2012-01-01T00:00:00,-10.872378,525073,-42.9,19.23,14.238406,0.01964950139062706
2013-01-01T00:00:00,-10.342313,525454,-38.12,17.74,12.051473,0.016625425485510274
2014-01-01T00:00:00,-9.912784,519454,-40.89,73.38,11.083547,0.015378189407962272
2015-01-01T00:00:00,-9.714424,523893,-38.82,20.4,12.335498,0.017042581687705612
2016-01-01T00:00:00,-8.075807,526826,-34.17,19.31,10.395778,0.014322650159575106
2017-01-01T00:00:00,-8.010264,524436,-39.23,21.18,11.313761,0.015622867257246193
2018-01-01T00:00:00,-8.859711,525600,-37.5,19.78,10.535462,0.01453201784064357
2019-01-01T00:00:00,-6.689207,525546,-38.81,19.77,11.459087,0.015806825660213228
2020-01-01T00:00:00,-10.300029,526473,-42.48,16.81,12.960193,0.017861725324754642
2021-01-01T00:00:00,-10.246903,483622,-44.3,14.65,12.758666,0.01834645860977442
2022-01-01T00:00:00,-9.657252,522413,-40.33,19.49,12.20526,0.01688651605900342
2023-01-01T00:00:00,-8.483197,525338,-39.89,23.09,12.015383,0.01657746815194925
2024-01-01T00:00:00,-9.074338,524988,-38.7,22.1,11.862541,0.016372049365252134
2025-01-01T00:00:00,-9.216694,519325,-40.17,17.61,11.096409,0.015397947513368704
