time,average,count,minimum,maximum,standard_deviation,standard_error
2014-09-01T00:00:00,64.55943,30554,23.0,99.0,18.657131,0.1067359766532167
2014-10-01T00:00:00,65.1753,44113,18.0,98.0,20.916561,0.09958799461093014
2014-11-01T00:00:00,62.819313,41348,21.0,99.0,18.590252,0.0914235374179539
2014-12-01T00:00:00,76.62377,44553,26.0,99.0,18.921434,0.08964283441981127
2015-01-01T00:00:00,60.935703,43610,20.0,99.0,20.01943,0.09586468908778002
2015-02-01T00:00:00,65.952484,32351,24.0,98.0,18.396648,0.10228097361939112
2015-03-01T00:00:00,,0,,,,
2015-04-01T00:00:00,,0,,,,
2015-05-01T00:00:00,,0,,,,
2015-06-01T00:00:00,,0,,,,
2015-07-01T00:00:00,71.68315,32200,33.4,98.5,17.04427,0.09498400076034329
2015-08-01T00:00:00,66.41536,44631,24.5,98.5,19.1366,0.09058295445687826
2015-09-01T00:00:00,65.83303,43190,26.2,98.6,18.983374,0.0913443718964687
2015-10-01T00:00:00,62.452316,44621,13.0,98.0,21.761637,0.10302008570796348
2015-11-01T00:00:00,69.97966,42774,15.7,98.7,20.978344,0.10143346685790751
2015-12-01T00:00:00,75.120026,40316,26.4,98.8,15.998229,0.07967703996343772
2016-01-01T00:00:00,74.558815,41671,22.8,98.4,16.470364,0.08068377803184515
2016-02-01T00:00:00,57.084263,41560,14.4,98.4,18.495441,0.09072499058035798
2016-03-01T00:00:00,60.89278,44549,10.2,98.9,21.957584,0.10403167246741335
2016-04-01T00:00:00,66.31361,43182,16.5,98.4,22.67784,0.10913154321089054
2016-05-01T00:00:00,72.01927,44634,24.4,99.2,19.234514,0.09104336859977585
2016-06-01T00:00:00,66.46149,43190,17.8,98.8,20.429184,0.0983013352829213
2016-07-01T00:00:00,67.51286,44621,23.5,98.9,18.81112,0.08905226769149643
2016-08-01T00:00:00,69.60836,44637,25.4,98.0,18.605038,0.08806088685321739
2016-09-01T00:00:00,70.93452,43197,26.0,99.2,17.938831,0.08631123944460985
2016-10-01T00:00:00,69.25612,44629,27.0,99.2,18.293419,0.08659370088546901
2016-11-01T00:00:00,66.620514,41718,20.3,99.3,19.680967,0.09635731737326686
2016-12-01T00:00:00,65.73753,44341,14.8,100.1,19.904205,0.09452400214068898
2017-01-01T00:00:00,67.06547,43054,16.4,99.9,20.639397,0.09946957092713524
2017-02-01T00:00:00,65.108536,40234,20.0,100.3,20.322515,0.10131665836319105
2017-03-01T00:00:00,63.02408,43306,8.7,100.1,22.089228,0.10614669972082712
2017-04-01T00:00:00,74.7679,43134,22.2,100.0,17.67698,0.08511344724862821
2017-05-01T00:00:00,67.81424,44633,21.9,99.6,19.975254,0.09455059632191197
2017-06-01T00:00:00,63.421574,43193,21.8,99.3,19.370037,0.0932016857158409
2017-07-01T00:00:00,65.270874,44621,23.0,99.1,19.896551,0.09419072783845484
2017-08-01T00:00:00,74.65794,44637,30.7,99.3,17.814491,0.08431909284218765
2017-09-01T00:00:00,65.86405,43195,22.1,99.1,20.782122,0.09999381629467874
2017-10-01T00:00:00,65.726204,44581,13.1,98.8,19.823364,0.09388635062567023
2017-11-01T00:00:00,68.26512,43137,20.7,99.0,20.273838,0.09761375142715623
2017-12-01T00:00:00,63.218853,44563,14.4,99.5,21.224556,0.10054289899948934
2018-01-01T00:00:00,55.478287,44521,10.7,98.8,18.29474,0.08670493211791414
2018-02-01T00:00:00,67.12361,40198,12.0,100.1,21.598764,0.10772752560700642
2018-03-01T00:00:00,61.730698,43120,11.3,99.6,22.721117,0.10941838549758212
2018-04-01T00:00:00,59.507492,43115,7.2,98.6,20.70763,0.09972779218861692
2018-05-01T00:00:00,66.657135,44637,18.5,99.9,18.972795,0.08980154861984364
2018-06-01T00:00:00,66.788216,43118,24.5,99.0,17.176497,0.08271900109334346
2018-07-01T00:00:00,67.41955,43197,23.8,99.6,19.235922,0.09255208586848812
2018-08-01T00:00:00,67.98142,44508,24.9,100.1,19.528143,0.09256395560913507
2018-09-01T00:00:00,78.09421,43198,27.1,100.3,17.223846,0.0828701881139592
2018-10-01T00:00:00,78.62414,44627,25.3,100.5,18.45701,0.08737003454417758
2018-11-01T00:00:00,69.040344,43151,21.1,100.5,17.807686,0.0857258999947214
2018-12-01T00:00:00,69.7717,44384,17.5,100.8,17.838978,0.0846753003253268
2019-01-01T00:00:00,74.617256,44543,28.9,101.0,16.939856,0.08026384701984701
2019-02-01T00:00:00,78.30485,40232,26.9,101.1,18.5653,0.09255846846414947
2019-03-01T00:00:00,68.4477,42904,22.5,101.3,20.068419,0.09688672080320938
2019-04-01T00:00:00,67.95942,43159,29.3,101.4,19.744013,0.09503853604276641
2019-05-01T00:00:00,81.16909,44638,28.5,101.4,16.359112,0.07742966069288915
2019-06-01T00:00:00,72.83532,43070,25.4,101.5,19.796314,0.09538869408677285
2019-07-01T00:00:00,64.69979,44367,27.6,101.2,19.333178,0.0917853161011297
2019-08-01T00:00:00,74.99444,44028,29.5,101.5,18.168333,0.08658658348279741
2019-09-01T00:00:00,73.69859,39329,28.6,101.6,18.774412,0.09466945909628427
2019-10-01T00:00:00,65.692474,40951,13.9,101.6,21.734259,0.10740205111920373
2019-11-01T00:00:00,65.42834,39110,11.6,101.2,19.146074,0.09681348012446848
2019-12-01T00:00:00,69.35056,40774,16.4,101.6,20.662653,0.10232798504599923
2020-01-01T00:00:00,77.10014,41800,23.8,101.7,18.660894,0.09127341799277036
2020-02-01T00:00:00,68.58961,33183,30.3,101.6,18.242582,0.10014482020930075
2020-03-01T00:00:00,73.543205,41943,17.5,102.0,22.607851,0.11038995023785904
2020-04-01T00:00:00,65.92691,41005,22.9,101.1,19.951862,0.09852921698787251
2020-05-01T00:00:00,72.11091,44632,20.8,102.0,20.439028,0.09674690039643118
2020-06-01T00:00:00,60.23344,43191,18.4,101.6,20.435358,0.09832990547953402
2020-07-01T00:00:00,73.77988,44633,31.7,102.2,17.889042,0.08467574802055304
2020-08-01T00:00:00,70.263916,44637,28.7,102.1,18.969547,0.08978617425329524
2020-09-01T00:00:00,73.868385,43190,14.0,102.1,21.955877,0.10564749235842198
2020-10-01T00:00:00,64.55639,44615,15.6,102.4,23.253714,0.11009101372192234
2020-11-01T00:00:00,67.7333,43088,15.3,102.0,20.690176,0.09967494786250145
2020-12-01T00:00:00,73.79884,44514,17.9,100.7,17.990267,0.08526863158345246
2021-01-01T00:00:00,74.866646,44516,19.1,101.7,17.587269,0.08335666585449217
2021-02-01T00:00:00,73.93172,40256,23.9,102.2,15.570609,0.07760510519864616
2021-03-01T00:00:00,66.53743,44379,18.7,102.3,21.352312,0.10135756125916572
2021-04-01T00:00:00,64.72455,43158,22.0,102.5,20.645823,0.09938058168991536
2021-05-01T00:00:00,79.75945,44638,26.6,103.3,18.245687,0.08635905234602327
2021-06-01T00:00:00,73.59346,43199,19.7,103.5,21.585102,0.10385257281368852
2021-07-01T00:00:00,71.77157,44493,30.5,103.6,20.007776,0.0948534163119768
2021-08-01T00:00:00,68.078606,44635,26.7,103.3,19.138134,0.09058615405996917
2021-09-01T00:00:00,56.01382,43192,17.8,103.7,22.206644,0.10685166017045307
2021-10-01T00:00:00,67.42968,44256,21.2,103.0,23.124651,0.10992313526333199
2021-11-01T00:00:00,63.4052,43128,18.3,102.5,22.149534,0.10665591322101727
2021-12-01T00:00:00,57.850697,44522,14.2,102.6,20.044147,0.09499489282624647
2022-01-01T00:00:00,56.801105,44507,16.1,101.0,20.532946,0.0973278425240898
2022-02-01T00:00:00,61.06567,40238,11.3,101.5,19.854502,0.09897848434276392
2022-03-01T00:00:00,58.458458,44420,9.1,104.0,23.282784,0.11047032274931874
2022-04-01T00:00:00,55.75991,42449,12.4,104.0,21.487638,0.1042929511092225
2022-05-01T00:00:00,73.26754,42418,23.5,104.0,19.308395,0.09374995967084178
2022-06-01T00:00:00,65.903496,41531,20.6,104.0,21.74338,0.10669421036792318
2022-07-01T00:00:00,53.191788,44578,16.5,104.0,21.514614,0.10189978574726605
2022-08-01T00:00:00,60.3314,44336,24.2,104.0,20.145832,0.09567686908165285
2022-09-01T00:00:00,57.701702,42798,17.7,104.0,21.844027,0.10558955481750316
2022-10-01T00:00:00,50.330997,44449,10.1,104.0,21.853754,0.10365614506292509
2022-11-01T00:00:00,72.24341,41056,27.5,104.0,18.818249,0.09287330220438686
2022-12-01T00:00:00,70.698,41811,21.8,104.0,20.249193,0.09902901207375234
2023-01-01T00:00:00,69.944725,43074,27.2,104.0,18.908964,0.09110876018396853
2023-02-01T00:00:00,61.33309,40082,21.3,104.0,17.908043,0.0894485766878231
2023-03-01T00:00:00,62.89641,44042,9.1,104.0,20.684065,0.098560381250252
2023-04-01T00:00:00,53.25426,40258,10.2,104.0,23.619085,0.11771640136083314
2023-05-01T00:00:00,71.684784,35810,17.0,104.0,19.457636,0.10282244139592035
2023-06-01T00:00:00,69.31093,35635,28.2,104.0,20.234922,0.10719219443108033
2023-07-01T00:00:00,64.74795,39079,23.5,104.0,19.51486,0.09871740317168207
2023-08-01T00:00:00,60.73771,42475,20.2,104.0,21.246338,0.10309020190856803
2023-09-01T00:00:00,58.785595,40300,15.2,104.0,22.095806,0.11006705019123468
2023-10-01T00:00:00,60.990177,42120,17.8,104.0,21.273727,0.10365718462013783
2023-11-01T00:00:00,66.79109,39462,18.0,104.0,18.35367,0.09239178878835345
2023-12-01T00:00:00,71.351,39268,25.5,104.0,17.597572,0.08880417166647712
2024-01-01T00:00:00,70.69262,35235,30.1,104.0,18.628773,0.09924236531588475
2024-02-01T00:00:00,62.80655,39126,16.8,104.0,20.161804,0.1019287427724395
2024-03-01T00:00:00,63.045918,41270,16.0,104.0,21.372345,0.10520465125952241
2024-04-01T00:00:00,56.348724,41973,13.2,104.0,22.735634,0.11097420968045746
2024-05-01T00:00:00,70.496826,38816,18.4,104.0,19.813828,0.10056873523366164
2024-06-01T00:00:00,64.216644,39049,23.1,104.0,19.218836,0.09725727983317717
2024-07-01T00:00:00,63.4748,43692,21.9,104.0,21.628586,0.10347302876744315
2024-08-01T00:00:00,60.94543,44401,24.8,104.0,19.156096,0.09090978232566518
2024-09-01T00:00:00,60.573704,43138,17.0,104.0,23.12519,0.11134105200031168
2024-10-01T00:00:00,45.25479,44559,15.5,104.0,17.671227,0.08371416998347267
2024-11-01T00:00:00,75.92352,43126,19.9,104.0,21.00309,0.10113782321934127
2024-12-01T00:00:00,67.219894,34516,26.3,104.0,20.344084,0.10950347607636729
2025-01-01T00:00:00,70.24728,42224,22.6,103.3,17.172174,0.08356907698323969
2025-02-01T00:00:00,68.02273,40209,10.3,101.0,21.303026,0.10623794596409554
2025-03-01T00:00:00,52.69212,44513,8.8,101.0,22.515802,0.10671955257722741
2025-04-01T00:00:00,69.236084,43149,17.0,101.0,23.518005,0.11321790584802299
2025-05-01T00:00:00,71.536316,44354,21.9,101.0,22.91581,0.10880999985089239
2025-06-01T00:00:00,76.734375,42583,28.2,101.0,19.288593,0.09347219227667114
2025-07-01T00:00:00,73.99361,44527,23.1,101.0,19.77467,0.09371249899007683
2025-08-01T00:00:00,71.42672,40994,29.2,101.0,21.61956,0.1067792109852408
2025-09-01T00:00:00,69.99701,40915,24.8,101.0,21.354473,0.10557171645192993
2025-10-01T00:00:00,68.15615,44345,17.2,101.0,24.376717,0.11575849690529649
2025-11-01T00:00:00,68.40932,43127,22.5,101.0,21.645164,0.1042284468276959
2025-12-01T00:00:00,64.85347,44444,17.0,101.0,20.881762,0.09905138734425173
