time,average,count,minimum,maximum,standard_deviation,standard_error
2014-01-01T00:00:00,67.62804,160568,18.0,99.0,20.16484,0.05032285780682497
2015-01-01T00:00:00,67.08603,323693,13.0,99.0,19.756355,0.03472483363924346
2016-01-01T00:00:00,67.26843,521929,10.2,100.1,19.967081,0.027638143481665052
2017-01-01T00:00:00,67.03114,522288,8.7,100.3,20.382841,0.028203934356869863
2018-01-01T00:00:00,67.36067,521774,7.2,100.8,20.221577,0.027994569777852987
2019-01-01T00:00:00,71.487526,507105,11.6,101.6,19.805845,0.027812782229060497
2020-01-01T00:00:00,70.15692,510431,14.0,102.4,20.72976,0.02901521121744465
2021-01-01T00:00:00,68.15845,524372,14.2,103.7,21.360287,0.02949764407568331
2022-01-01T00:00:00,61.15241,514591,9.1,104.0,22.16042,0.030892060986384487
2023-01-01T00:00:00,64.17641,481605,9.1,104.0,20.878973,0.03008594375551348
2024-01-01T00:00:00,63.126503,488901,13.2,104.0,21.87011,0.031278109509895125
2025-01-01T00:00:00,68.71852,515384,8.8,103.3,22.216154,0.03094592105177088
