time,average,count,minimum,maximum,standard_deviation,standard_error
2014-09-01T00:00:00,21.911419,30554,6.6,36.0,6.0196586,0.03443799206812925
2014-10-01T00:00:00,17.936806,44111,3.4,34.7,6.433512,0.030631952359279353
2014-11-01T00:00:00,6.291408,41344,-10.0,24.4,7.329273,0.03604579976212871
2014-12-01T00:00:00,4.254829,44553,-11.6,16.4,5.4612684,0.025873491973712356
2015-01-01T00:00:00,2.0559702,43607,-14.1,25.3,7.180596,0.03438605712426735
2015-02-01T00:00:00,2.1608608,32351,-11.0,24.9,7.188952,0.039968856850484076
2015-03-01T00:00:00,,0,,,,
2015-04-01T00:00:00,,0,,,,
2015-05-01T00:00:00,,0,,,,
2015-06-01T00:00:00,,0,,,,
2015-07-01T00:00:00,27.787811,32200,17.3,38.1,5.051924,0.0281532730421834
2015-08-01T00:00:00,25.926712,44631,12.3,41.1,5.4027286,0.025573774977345202
2015-09-01T00:00:00,24.615032,43190,12.8,39.8,5.639848,0.0271378735984594
2015-10-01T00:00:00,16.783728,44621,2.3,33.2,5.924309,0.028045813162494646
2015-11-01T00:00:00,10.386312,42773,-2.8,26.4,7.0401516,0.03404059597942448
2015-12-01T00:00:00,6.5633435,40314,-5.9,21.9,5.873069,0.029250759250563103
2016-01-01T00:00:00,1.6813895,41670,-11.4,22.4,5.838687,0.028602463481008474
2016-02-01T00:00:00,7.4501233,41557,-7.2,24.5,6.8142805,0.033427039394540996
2016-03-01T00:00:00,11.943064,44549,-5.6,28.0,6.538742,0.030979558638749165
2016-04-01T00:00:00,15.688591,43180,-1.6,32.0,5.9065914,0.028424681746478515
2016-05-01T00:00:00,18.678986,44634,4.9,32.6,5.9961286,0.02838167555822174
2016-06-01T00:00:00,26.933989,43189,13.3,39.3,5.387335,0.025923127363489194
2016-07-01T00:00:00,28.543169,44621,18.8,41.0,5.034786,0.02383479306704848
2016-08-01T00:00:00,26.79969,44637,12.0,38.4,4.7105336,0.02229577681937196
2016-09-01T00:00:00,23.55779,43197,8.7,37.0,5.8560724,0.028176019946461375
2016-10-01T00:00:00,18.908041,44629,4.6,33.1,5.957746,0.02820157789212239
2016-11-01T00:00:00,12.556913,41718,-4.8,30.2,6.974086,0.0341448765333002
2016-12-01T00:00:00,1.9821658,44336,-18.8,23.5,7.1072526,0.03375386403728071
2017-01-01T00:00:00,3.5928829,43053,-14.6,23.7,7.383613,0.03558502068780971
2017-02-01T00:00:00,8.591516,40231,-6.6,27.9,7.350871,0.0366486846960384
2017-03-01T00:00:00,11.804468,43304,-3.9,31.1,7.495797,0.03602083853514782
2017-04-01T00:00:00,15.138189,43133,1.8,27.9,5.669905,0.027300522802854867
2017-05-01T00:00:00,19.343887,44631,4.3,33.4,6.18488,0.02927608190288043
2017-06-01T00:00:00,25.81505,43193,12.2,37.9,5.2332435,0.025180494531487893
2017-07-01T00:00:00,28.207262,44621,18.5,41.0,5.057255,0.023941159776294775
2017-08-01T00:00:00,24.458431,44636,13.8,37.8,4.5076528,0.02133574533618336
2017-09-01T00:00:00,23.01601,43193,8.6,36.6,5.8667154,0.028228534905648032
2017-10-01T00:00:00,16.281803,44580,-3.7,31.9,7.420904,0.03514688097651023
2017-11-01T00:00:00,10.231894,43136,-5.6,27.5,5.6532345,0.027219307004960218
2017-12-01T00:00:00,3.694529,44561,-12.3,23.3,7.402354,0.03506649607266592
2018-01-01T00:00:00,1.5769436,44508,-17.6,19.9,8.600285,0.040765594693182715
2018-02-01T00:00:00,3.1821802,40192,-12.0,25.8,7.997785,0.03989329616398212
2018-03-01T00:00:00,10.279983,43112,-5.2,27.1,6.441708,0.03102429741819993
2018-04-01T00:00:00,11.424284,43114,-5.3,32.5,8.136214,0.03918440151490173
2018-05-01T00:00:00,23.912909,44637,9.8,34.8,5.2432003,0.024816981092271546
2018-06-01T00:00:00,26.980078,43118,14.2,37.1,4.7936645,0.023085449072577115
2018-07-01T00:00:00,27.842043,43197,16.0,41.9,4.5694385,0.021985484427102197
2018-08-01T00:00:00,26.513138,44508,16.1,37.6,4.750728,0.022518587116296552
2018-09-01T00:00:00,22.880625,43197,6.1,36.8,5.1419992,0.024740314454398966
2018-10-01T00:00:00,14.828979,44627,0.5,33.0,6.361422,0.030113092922129124
2018-11-01T00:00:00,5.6175237,43147,-10.0,22.4,6.4359474,0.03098397866217601
2018-12-01T00:00:00,3.6128907,44380,-7.4,16.9,5.3453712,0.025373724740208832
2019-01-01T00:00:00,2.2385092,44540,-9.4,17.9,5.749111,0.02724116023047509
2019-02-01T00:00:00,2.0835414,40228,-11.1,22.5,6.8851047,0.0343278279892996
2019-03-01T00:00:00,7.419205,42895,-13.5,24.3,7.90602,0.0381728496351431
2019-04-01T00:00:00,15.245049,43153,-0.7,29.6,6.0347767,0.02905064018671467
