time,average,count,minimum,maximum,standard_deviation,standard_error
2014-01-01T00:00:00,11.898016,160562,-11.6,36.0,9.683901,0.02416734538822269
2015-01-01T00:00:00,14.620117,323687,-14.1,41.1,11.605509,0.020398656116910902
2016-01-01T00:00:00,16.34208,521917,-18.8,41.0,10.819305,0.014976097513800937
2017-01-01T00:00:00,15.928794,522272,-14.6,41.0,10.30704,0.014262169677740046
2018-01-01T00:00:00,14.950358,521737,-17.6,41.9,11.64672,0.016124186539663545
2019-01-01T00:00:00,14.812004,507072,-13.5,39.6,11.304057,0.015874480746797377
2020-01-01T00:00:00,15.461937,510417,-10.3,38.8,10.372806,0.014518898636170903
2021-01-01T00:00:00,15.515695,524357,-26.7,39.3,11.102043,0.015331666932183024
2022-01-01T00:00:00,15.450383,524331,-18.1,44.0,12.352275,0.017058631218468876
2023-01-01T00:00:00,15.865458,522520,-10.9,42.3,10.704013,0.014807957645090184
2024-01-01T00:00:00,16.759607,523176,-18.3,40.7,10.92481,0.015103931327344227
2025-01-01T00:00:00,15.565385,517382,-24.1,39.4,11.20046,0.015571491698759168
