time,average,count,minimum,maximum,standard_deviation,standard_error
1993-07-01T00:00:00,61.703163,5584,32.52,89.9,15.009032,0.20085376914665398
1993-08-01T00:00:00,53.43345,2886,24.24,83.6,15.0245285,0.2796743829556831
1993-09-01T00:00:00,74.9022,41946,22.22,100.9,19.144548,0.09347594198397599
1993-10-01T00:00:00,65.72156,44543,20.19,101.7,21.951748,0.10401102458908684
1993-11-01T00:00:00,66.17702,43070,19.39,102.4,22.128576,0.10662671685679163
1993-12-01T00:00:00,74.89361,44640,21.84,102.3,18.616417,0.08811178589437832
1994-01-01T00:00:00,75.24389,44640,23.72,102.7,17.77318,0.0841207326475815
1994-02-01T00:00:00,64.95887,40320,12.13,102.4,21.863995,0.10888529940969495
1994-03-01T00:00:00,65.757805,44639,12.13,102.5,22.729013,0.1075779730047343
1994-04-01T00:00:00,71.58825,43084,19.1,102.1,21.568493,0.10391106380079407
1994-05-01T00:00:00,74.76116,44543,29.64,101.7,19.006996,0.09005830214251555
1994-06-01T00:00:00,65.066284,43048,10.76,98.5,21.473444,0.10349639297333316
1994-07-01T00:00:00,68.0049,44613,25.92,100.3,19.559145,0.09260174092457275
1994-08-01T00:00:00,64.22128,34928,22.93,99.8,19.275219,0.10313651705502219
1994-09-01T00:00:00,62.257362,30908,16.51,101.1,22.22372,0.12640996633208806
1994-10-01T00:00:00,74.12653,44619,18.94,101.5,21.91385,0.1037429955086944
1994-11-01T00:00:00,80.79197,43133,22.61,102.0,16.424461,0.07908357676664454
1994-12-01T00:00:00,86.3746,44639,34.25,103.4,15.684573,0.07423615607795736
1995-01-01T00:00:00,82.8644,44640,27.5,103.5,15.639504,0.0740220135358252
1995-02-01T00:00:00,67.476715,40299,19.7,103.0,20.933273,0.10427735557155574
1995-03-01T00:00:00,77.72184,44600,20.35,103.5,18.762205,0.08884161615112697
1995-04-01T00:00:00,71.67669,19917,-1.09,102.2,21.01862,0.14893344224589272
1995-05-01T00:00:00,,0,,,,
1995-06-01T00:00:00,,0,,,,
1995-07-01T00:00:00,,0,,,,
1995-08-01T00:00:00,,0,,,,
1995-09-01T00:00:00,,0,,,,
1995-10-01T00:00:00,,0,,,,
1995-11-01T00:00:00,59.83743,41849,17.08,101.9,19.08215,0.09327918690015545
1995-12-01T00:00:00,77.73492,42194,13.23,104.0,24.100502,0.11732774932465985
1996-01-01T00:00:00,69.67384,44624,16.72,104.0,21.067425,0.09973031789861837
1996-02-01T00:00:00,56.58685,41624,8.85,104.0,25.129469,0.12317183284277346
1996-03-01T00:00:00,60.382122,44614,13.61,103.4,25.043406,0.11856535465541623
1996-04-01T00:00:00,51.696392,42975,8.58,102.2,21.192268,0.10222791481479027
1996-05-01T00:00:00,71.097786,44408,18.24,103.0,19.437336,0.0922372049670277
1996-06-01T00:00:00,70.18259,43200,23.48,102.7,21.222195,0.10210533172050598
1996-07-01T00:00:00,72.070366,44639,11.04,102.7,21.821878,0.10328444104669413
1996-08-01T00:00:00,82.49919,44640,45.3,102.9,15.736623,0.07448167630190339
1996-09-01T00:00:00,79.191864,43026,27.61,103.1,18.934902,0.09128461319859028
1996-10-01T00:00:00,75.060974,44640,19.95,103.3,19.628948,0.09290411192200576
1996-11-01T00:00:00,70.76293,17280,26.37,103.2,17.670889,0.13442700641822483
1996-12-01T00:00:00,,0,,,,
1997-01-01T00:00:00,38.643997,1709,19.39,69.76,12.963764,0.3135884736907795
1997-02-01T00:00:00,71.23074,35990,21.02,99.3,17.037302,0.0898069399833741
1997-03-01T00:00:00,63.336216,44459,-0.066,101.4,20.544508,0.09743520422951232
1997-04-01T00:00:00,49.7166,42882,0.022,99.2,28.436613,0.13732207356129206
1997-05-01T00:00:00,63.386993,43781,10.18,99.3,20.313082,0.09708071754314809
1997-06-01T00:00:00,70.19667,41577,22.62,99.6,19.095348,0.09364853997578176
1997-07-01T00:00:00,70.599686,44494,28.36,99.4,17.650547,0.08367725875734464
1997-08-01T00:00:00,76.24267,44427,33.38,99.8,16.035606,0.07607849162369516
1997-09-01T00:00:00,70.089714,43200,26.97,100.2,18.542746,0.08921382631685389
1997-10-01T00:00:00,77.76799,44391,30.04,100.3,17.506386,0.08309005202513847
1997-11-01T00:00:00,75.16503,43200,27.96,100.6,17.90274,0.08613460028752505
1997-12-01T00:00:00,82.08299,44635,31.75,100.5,14.546815,0.06885415355048849
1998-01-01T00:00:00,84.95626,44640,34.61,100.9,14.2672,0.06752687790412622
1998-02-01T00:00:00,78.333374,40320,17.77,100.8,18.121687,0.09024816114425434
1998-03-01T00:00:00,77.17612,44640,28.92,101.0,18.05126,0.0854368894745897
1998-04-01T00:00:00,69.839554,43200,20.65,100.2,20.537062,0.0988089841318906
1998-05-01T00:00:00,77.22496,44554,23.66,100.6,16.885757,0.07999764391070109
1998-06-01T00:00:00,62.006428,43199,17.71,99.9,17.719955,0.08525616214864254
1998-07-01T00:00:00,69.29652,44568,25.07,99.8,20.125847,0.0953328531918444
1998-08-01T00:00:00,60.766136,40875,19.14,99.8,20.577293,0.10177927830592397
1998-09-01T00:00:00,62.667675,43200,14.6,100.3,23.094183,0.1111119396114158
1998-10-01T00:00:00,78.38074,44640,29.65,100.1,16.666012,0.07888048864468988
1998-11-01T00:00:00,80.921135,43200,29.57,100.3,16.29348,0.0783920418126729
1998-12-01T00:00:00,78.688805,44617,34.64,100.7,14.398396,0.06816538895863243
1999-01-01T00:00:00,76.96298,44640,20.87,100.9,17.56795,0.08314937254643824
1999-02-01T00:00:00,71.75806,40320,19.33,101.1,19.729622,0.09825586887891614
1999-03-01T00:00:00,75.29239,44465,24.3,101.1,18.047762,0.08558826149227594
1999-04-01T00:00:00,74.66454,19768,17.74,100.6,19.46335,0.13843191693590043
1999-05-01T00:00:00,77.14178,39266,26.63,100.6,17.638222,0.08901157116765415
1999-06-01T00:00:00,81.31902,43147,32.4,100.3,14.8776045,0.07162385736548514
1999-07-01T00:00:00,69.038666,44279,26.08,100.2,17.921917,0.08516978651808312
1999-08-01T00:00:00,61.78715,38547,18.04,100.0,21.518528,0.10960169418191981
1999-09-01T00:00:00,73.865685,41734,19.47,100.3,19.772623,0.09678750202462899
1999-10-01T00:00:00,72.86687,8640,30.16,97.9,18.358328,0.19750416135468507
1999-11-01T00:00:00,,0,,,,
1999-12-01T00:00:00,,0,,,,
2000-01-01T00:00:00,,0,,,,
2000-02-01T00:00:00,,0,,,,
2000-03-01T00:00:00,,0,,,,
2000-04-01T00:00:00,,0,,,,
2000-05-01T00:00:00,,0,,,,
2000-06-01T00:00:00,,0,,,,
2000-07-01T00:00:00,,0,,,,
2000-08-01T00:00:00,,0,,,,
2000-09-01T00:00:00,,0,,,,
2000-10-01T00:00:00,,0,,,,
2000-11-01T00:00:00,,0,,,,
2000-12-01T00:00:00,,0,,,,
2001-01-01T00:00:00,,0,,,,
2001-02-01T00:00:00,,0,,,,
2001-03-01T00:00:00,,0,,,,
2001-04-01T00:00:00,,0,,,,
2001-05-01T00:00:00,,0,,,,
2001-06-01T00:00:00,,0,,,,
2001-07-01T00:00:00,,0,,,,
2001-08-01T00:00:00,,0,,,,
2001-09-01T00:00:00,,0,,,,
2001-10-01T00:00:00,,0,,,,
2001-11-01T00:00:00,,0,,,,
2001-12-01T00:00:00,,0,,,,
2002-01-01T00:00:00,,0,,,,
2002-02-01T00:00:00,,0,,,,
2002-03-01T00:00:00,,0,,,,
2002-04-01T00:00:00,,0,,,,
2002-05-01T00:00:00,,0,,,,
