time,average,count,minimum,maximum,standard_deviation,standard_error
1993-01-01T00:00:00,69.861534,182669,19.39,102.4,20.927732,0.04896544989670976
1994-01-01T00:00:00,71.51055,503114,10.76,103.4,21.23173,0.02993313272730334
1995-01-01T00:00:00,73.21818,233499,-1.09,104.0,21.46769,0.04442657088290328
1996-01-01T00:00:00,69.019165,455670,8.58,104.0,22.831394,0.03382261748564438
1997-01-01T00:00:00,69.91255,474745,-0.066,101.4,21.021687,0.030509659198543756
1998-01-01T00:00:00,73.4538,521653,14.6,101.0,19.790575,0.027401072287529284
1999-01-01T00:00:00,73.57728,364806,17.74,101.1,19.213558,0.031810962805647186
2000-01-01T00:00:00,,0,,,,
2001-01-01T00:00:00,,0,,,,
2002-01-01T00:00:00,72.61454,283927,26.74,100.0,18.668528,0.03503537089505503
2003-01-01T00:00:00,68.8907,518201,12.24,100.6,20.679445,0.02872696604846654
2004-01-01T00:00:00,72.922615,523986,8.27,104.0,19.781284,0.027327169067115176
2005-01-01T00:00:00,69.53722,515458,-0.067,104.0,20.588316,0.02867637047447795
2006-01-01T00:00:00,61.693626,507978,7.94,100.4,21.993822,0.03085874473221233
2007-01-01T00:00:00,71.87483,431719,10.69,100.1,19.879984,0.030256274187898367
2008-01-01T00:00:00,67.69814,519511,14.95,99.8,19.74811,0.02739858661186056
2009-01-01T00:00:00,65.96653,525544,11.06,99.2,20.4324,0.028184792098231028
2010-01-01T00:00:00,67.25762,523781,-0.007,99.0,20.750874,0.028672232789634884
2011-01-01T00:00:00,59.29044,523722,9.65,99.1,22.491669,0.031079302886220177
2012-01-01T00:00:00,57.47461,515836,9.5,98.3,22.146278,0.03083506943335559
2013-01-01T00:00:00,66.267525,525436,12.62,99.6,20.591196,0.02840675733375431
2014-01-01T00:00:00,60.79344,524383,6.331,104.0,21.500578,0.029691068832966173
2015-01-01T00:00:00,64.1091,513255,11.14,95.8,20.001068,0.027918147308145944
2016-01-01T00:00:00,62.92726,526849,9.42,94.9,19.760492,0.02722417204372267
2017-01-01T00:00:00,62.737244,507521,8.59,94.9,19.918816,0.027959957239128797
2018-01-01T00:00:00,66.693436,523513,0.819,100.1,20.357035,0.028135250177805576
2019-01-01T00:00:00,71.40943,524329,12.34,100.4,19.33479,0.02670161341137836
2020-01-01T00:00:00,70.31539,521212,14.32,101.8,20.175623,0.02794600611890592
2021-01-01T00:00:00,68.993454,525338,2.237,101.9,21.21076,0.02926421131459912
2022-01-01T00:00:00,61.383102,524100,8.16,100.5,21.710545,0.02998911416784417
2023-01-01T00:00:00,67.73536,525598,9.11,100.5,22.436625,0.03094786317921912
2024-01-01T00:00:00,65.955,525546,-0.329,100.5,22.404646,0.030905282466368415
2025-01-01T00:00:00,64.92969,519035,-1.905,101.7,26.120544,0.036256335124938276
2026-01-01T00:00:00,65.35689,46080,19.47,101.7,19.021315,0.08861031773729859
