time,average,count,minimum,maximum,standard_deviation,standard_error
1993-07-01T00:00:00,0.0,5592,0.0,0.0,0.0,0.0
1993-08-01T00:00:00,0.0,2886,0.0,0.0,0.0,0.0
1993-09-01T00:00:00,66.548,41947,0.0,1.778,0.02695389,0.00013160458301132738
1993-10-01T00:00:00,5.08,44640,0.0,0.254,0.0053751348,2.5440594973739347e-05
1993-11-01T00:00:00,48.26,43200,0.0,1.524,0.021278005,0.0001023738497371319
1993-12-01T00:00:00,37.592003,44640,0.0,0.508,0.014699609,6.957347417556416e-05
1994-01-01T00:00:00,5.588,44640,0.0,1.016,0.00700877,3.3172615613222874e-05
1994-02-01T00:00:00,20.574,40320,0.0,0.254,0.011373112,5.6639453389484814e-05
1994-03-01T00:00:00,24.384,44640,0.0,0.508,0.011888492,5.626841398295511e-05
1994-04-01T00:00:00,187.198,43085,0.0,1.524,0.04018456,0.00019359591150048131
1994-05-01T00:00:00,49.53,44557,0.0,1.27,0.020846946,9.876077145931738e-05
1994-06-01T00:00:00,28.956,43200,0.0,1.524,0.018681874,8.988321059004706e-05
1994-07-01T00:00:00,158.496,44616,0.0,2.794,0.056393355,0.00026698239093923734
1994-08-01T00:00:00,51.561996,34991,0.0,1.27,0.02992914,0.00015999855819577943
1994-09-01T00:00:00,9.144,30911,0.0,2.032,0.015286388,8.694574789720012e-05
1994-10-01T00:00:00,69.85,44640,0.0,1.27,0.022977352,0.00010875215890750612
1994-11-01T00:00:00,94.48801,43200,0.0,1.016,0.025946705,0.0001248361410521876
1994-12-01T00:00:00,16.002,44640,0.0,0.508,0.009685701,4.584256974346228e-05
1995-01-01T00:00:00,10.922,44640,0.0,0.254,0.007879463,3.729361893534506e-05
1995-02-01T00:00:00,6.0959997,40320,0.0,0.254,0.006195121,3.085244096878574e-05
1995-03-01T00:00:00,98.806,44640,0.0,1.27,0.026817376,0.0001269270495473602
1995-04-01T00:00:00,75.692,43200,0.0,1.27,0.022860797,0.00010998906143621582
1995-05-01T00:00:00,115.062,44640,0.0,1.27,0.030136358,0.00014263584302638812
1995-06-01T00:00:00,171.45,43200,0.0,1.524,0.040576253,0.00019522258868415123
1995-07-01T00:00:00,6.8580003,24024,0.0,0.762,0.010229969,6.600117617046876e-05
