time,average,count,minimum,maximum,standard_deviation,standard_error
1993-01-01T00:00:00,157.48001,182905,0.0,1.778,0.018265989,4.271008101537889e-05
1994-01-01T00:00:00,715.77203,503440,0.0,2.794,0.026587708,3.747201436109139e-05
1995-01-01T00:00:00,741.934,503817,0.0,2.286,0.024223002,3.4126484356018263e-05
1996-01-01T00:00:00,687.324,527035,0.0,3.048,0.026051322,3.588475935651489e-05
1997-01-01T00:00:00,1129.538,523489,0.0,2.032,0.032303564,4.464745036956632e-05
1998-01-01T00:00:00,1046.48,521836,0.0,3.556,0.031436518,4.35178484826449e-05
1999-01-01T00:00:00,965.454,490630,0.0,2.54,0.03087112,4.4073275352965306e-05
2000-01-01T00:00:00,769.87396,527022,0.0,3.302,0.028977955,3.991658305680589e-05
2001-01-01T00:00:00,506.73004,489182,0.0,3.048,0.024883416,3.557744517966656e-05
2002-01-01T00:00:00,588.518,372257,0.0,2.286,0.02922032,4.78920619271234e-05
2003-01-01T00:00:00,578.104,525600,0.0,3.556,0.024520077,3.3821599930042554e-05
2004-01-01T00:00:00,977.9,524775,0.0,2.54,0.029485652,4.0702789148943184e-05
2005-01-01T00:00:00,558.8,519767,0.0,4.572,0.02437513,3.380979832321149e-05
2006-01-01T00:00:00,548.386,508101,0.0,3.302,0.024428656,3.427082464792605e-05
2007-01-01T00:00:00,1189.736,521739,0.0,2.54,0.033559646,4.646123249005656e-05
2008-01-01T00:00:00,806.704,511959,0.0,2.286,0.026423033,3.692879030537682e-05
2009-01-01T00:00:00,699.00806,525600,0.0,3.556,0.030417416,4.195605466703417e-05
2010-01-01T00:00:00,707.14,525236,0.0,7.37,0.02970188,4.0983277389085026e-05
2011-01-01T00:00:00,694.69,523760,0.0,3.302,0.026702918,3.6897127757011705e-05
2012-01-01T00:00:00,532.638,515892,0.0,2.794,0.025290353,3.521076805166668e-05
2013-01-01T00:00:00,733.552,525478,0.0,2.286,0.025121376,3.46550199532197e-05
2014-01-01T00:00:00,636.778,525250,0.0,3.048,0.025406128,3.50554420355369e-05
2015-01-01T00:00:00,760.73004,513315,0.0,2.032,0.025405876,3.5460283401440596e-05
2016-01-01T00:00:00,735.32996,526916,0.0,3.048,0.029399335,4.0501100074726694e-05
2017-01-01T00:00:00,798.322,507455,0.0,2.54,0.029587192,4.1534117650013517e-05
2018-01-01T00:00:00,713.232,516331,0.0,2.794,0.025871372,3.600438175820068e-05
2019-01-01T00:00:00,992.124,498268,0.0,2.286,0.03188418,4.516933884956534e-05
2020-01-01T00:00:00,621.538,521214,0.0,3.048,0.022205407,3.0757476265045573e-05
2021-01-01T00:00:00,711.2,516701,0.0,2.54,0.02817751,3.91997184235166e-05
2022-01-01T00:00:00,709.422,512935,0.0,2.286,0.025769796,3.5981545817018596e-05
2023-01-01T00:00:00,714.24805,521280,0.0,2.54,0.025949609,3.594142395498155e-05
2024-01-01T00:00:00,748.28394,527040,0.0,2.794,0.02868442,3.95115704594606e-05
2025-01-01T00:00:00,796.798,525377,0.0,2.286,0.028034791,3.867780326748152e-05
2026-01-01T00:00:00,34.289997,46080,0.0,1.524,0.018880371,8.795373542943124e-05
