time,average,count,minimum,maximum,standard_deviation,standard_error
1993-07-01T00:00:00,29.758772,5584,21.3,37.36,4.3278465,0.05791607831930852
1993-08-01T00:00:00,27.829073,2886,20.27,37.45,4.440191,0.08265201930955927
1993-09-01T00:00:00,19.666258,41947,6.545,34.81,5.7435365,0.028043287876410257
1993-10-01T00:00:00,13.623584,44543,-9.01,31.41,7.5468984,0.035758456920863095
1993-11-01T00:00:00,5.720639,43070,-10.83,22.04,6.731012,0.0324334330197903
1993-12-01T00:00:00,4.167009,44640,-8.13,18.29,5.6216145,0.026607187149666395
1994-01-01T00:00:00,0.35970083,44640,-13.53,17.08,6.5168943,0.03084456052694411
1994-02-01T00:00:00,1.996987,40320,-14.39,22.12,8.019513,0.03993813135888958
1994-03-01T00:00:00,10.07639,44639,-3.711,28.98,7.5968103,0.035956222201336215
1994-04-01T00:00:00,13.820781,43084,-3.091,29.76,7.481968,0.03604606267592543
1994-05-01T00:00:00,19.095812,44548,2.471,32.96,5.975733,0.02831242473672484
1994-06-01T00:00:00,26.850555,43048,16.74,41.87,5.308086,0.02558358810695737
1994-07-01T00:00:00,26.216137,44613,14.16,38.23,4.992554,0.023636984646749903
1994-08-01T00:00:00,25.765877,34928,10.15,38.82,5.2475057,0.028077992707527023
1994-09-01T00:00:00,20.934507,30909,5.995,35.95,6.645646,0.0378002552558884
1994-10-01T00:00:00,16.430792,44619,0.68,33.13,5.6618257,0.026803812779204142
1994-11-01T00:00:00,9.130785,43133,-3.669,23.11,5.285296,0.025448634190478582
1994-12-01T00:00:00,4.152507,44639,-6.129,19.99,5.229375,0.024750988496763663
1995-01-01T00:00:00,1.8309056,44640,-13.45,19.15,5.7727613,0.027322567684378733
1995-02-01T00:00:00,5.8794065,40299,-7.73,24.66,7.2384434,0.03605770211794351
1995-03-01T00:00:00,8.7430105,44600,-11.93,29.74,9.000251,0.0426174227927502
1995-04-01T00:00:00,12.473187,43163,-1.818,30.03,5.9984245,0.02887230041995115
1995-05-01T00:00:00,16.813942,44591,2.805,28.79,4.896046,0.023185789990970852
1995-06-01T00:00:00,22.599916,43132,11.91,34.73,4.84462,0.023327056426520183
1995-07-01T00:00:00,27.521193,24024,14.99,41.15,5.9756393,0.03855331425861767
1995-08-01T00:00:00,27.312048,44608,16.61,37.77,4.674141,0.022130714046214434
1995-09-01T00:00:00,20.751057,43198,1.834,39.71,7.3864307,0.03553880413615254
