time,average,count,minimum,maximum,standard_deviation,standard_error
1993-01-01T00:00:00,11.554534,182670,-10.83,37.45,9.622,0.02251291473276395
1994-01-01T00:00:00,14.265574,503120,-14.39,41.87,11.029388,0.015549471794361376
1995-01-01T00:00:00,13.7486925,503309,-14.11,41.15,10.594007,0.01493285638877656
1996-01-01T00:00:00,13.879239,526178,-21.82,45.28,11.6423235,0.01604993653704859
1997-01-01T00:00:00,13.910997,517681,-16.2,39.78,10.660896,0.014817079331036273
1998-01-01T00:00:00,15.656916,521653,-14.93,41.75,11.308883,0.015657731636840307
1999-01-01T00:00:00,16.486988,364807,-13.72,42.51,10.577773,0.017513085386203876
2000-01-01T00:00:00,,0,,,,
2001-01-01T00:00:00,,0,,,,
2002-01-01T00:00:00,17.510784,283928,-11.57,37.89,10.712262,0.020103750265351276
2003-01-01T00:00:00,14.803482,525505,-17.29,43.38,11.446154,0.015789600608144
2004-01-01T00:00:00,14.822512,524021,-15.73,38.48,10.493831,0.014496384736836218
2005-01-01T00:00:00,15.276428,518840,-17.01,39.84,11.151267,0.015481302301521005
2006-01-01T00:00:00,16.357588,507983,-13.56,43.36,10.936319,0.015344282807071561
2007-01-01T00:00:00,14.744811,521665,-14.54,40.03,11.03944,0.015284498712338966
2008-01-01T00:00:00,13.967501,519512,-15.03,40.27,10.983594,0.015238656410321518
2009-01-01T00:00:00,13.850964,525544,-15.63,43.55,10.962093,0.015121293920800895
2010-01-01T00:00:00,14.360758,523772,-17.82,42.16,11.795851,0.016298893800781252
2011-01-01T00:00:00,15.074595,523721,-28.85,44.81,12.79554,0.01768107309972554
2012-01-01T00:00:00,16.279394,515836,-13.48,44.01,11.302601,0.01573702255127008
2013-01-01T00:00:00,13.375302,525436,-15.72,40.91,11.473557,0.015828442501150813
2014-01-01T00:00:00,13.792479,525195,-20.76,38.65,11.888408,0.016404515158364198
2015-01-01T00:00:00,14.982751,513255,-14.77,39.85,10.923764,0.01524774862735378
2016-01-01T00:00:00,15.405001,526849,-19.72,40.33,10.7978735,0.014876307784071178
2017-01-01T00:00:00,14.842929,507521,-15.63,39.8,10.288568,0.014442018749862062
2018-01-01T00:00:00,15.199378,523509,-18.43,42.260002,11.747667,0.016236393301410686
2019-01-01T00:00:00,14.842094,524320,-13.42,39.2,11.175792,0.015434056584615873
2020-01-01T00:00:00,15.416016,521210,-10.07,38.48,10.292084,0.014255975533998514
2021-01-01T00:00:00,15.619003,525340,-25.45,39.82,11.0502405,0.015245844855258572
2022-01-01T00:00:00,15.494629,524100,-18.2,44.33,12.3007145,0.01699116895968424
2023-01-01T00:00:00,15.946359,525600,-9.98,41.74,10.679687,0.01473095245694437
2024-01-01T00:00:00,16.941786,527038,-18.36,40.85,10.930808,0.015056752233690213
2025-01-01T00:00:00,15.82684,525348,-23.38,39.48,11.135917,0.015363933983267622
2026-01-01T00:00:00,1.5095917,46080,-19.25,22.76,8.866043,0.0413022396719095
